User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,111,105,4.613,2.869,3.052
simahawk,182,171,1.210,1.094,1.313
dreispt,118,83,1.332,334,464
victoralmau,440,408,370,638,1.086
marcelsavegnago,178,119,691,758,917
rvalyi,164,132,922,473,648
MiquelRForgeFlow,260,220,373,541,796
chienandalu,176,164,264,751,945
kittiu,179,113,695,327,480
rousseldenis,101,50,650,509,595
etobella,134,117,516,474,625
StefanRijnhart,102,107,533,496,636
LoisRForgeFlow,107,101,500,419,553
joao-p-marques,138,134,257,553,715
sebalix,121,107,289,554,689
legalsylvain,95,89,380,400,518
renatonlima,105,99,349,373,501
sbidoul,126,109,415,171,312
dsolanki-initos,41,30,577,144,204
eLBati,108,80,361,224,333
mileo,89,51,425,178,259
yajo,98,96,253,299,421
HaraldPanten,6,6,341,344,371
AaronHForgeFlow,61,40,258,317,381
ivantodorovich,73,60,219,324,407
CarlosRoca13,128,129,200,194,348
alexis-via,139,110,284,95,234
TDu,82,71,116,360,451
sergio-teruel,124,105,179,167,297
tafaRU,45,36,290,210,270
lmignon,48,36,216,252,310
TheMule71,62,50,216,185,258
hparfr,66,44,182,208,274
fshah-initos,44,35,311,117,176
sergiocorato,70,45,180,173,240
SimoRubi,59,44,131,234,297
guewen,39,47,181,171,238
hkapatel-initos,40,33,305,51,108
JordiBForgeFlow,73,47,188,98,167
sebastienbeau,42,34,193,129,183
Saran440,60,43,158,110,173
hbrunn,46,36,159,135,190
NL66278,25,14,153,159,190
patrickrwilson,32,15,174,124,158
carlosdauden,38,33,57,216,263
newtratip,50,38,121,124,180
mmequignon,48,29,51,212,255
ernestotejeda,61,60,77,128,205
hailangvn,69,44,131,64,128
HviorForgeFlow,31,21,138,115,153
bodedra,23,19,101,158,192
gurneyalex,32,29,88,144,188
thomaspaulb,41,26,92,120,162
ValentinVinagre,34,29,123,92,138
Tardo,67,54,52,94,163
ao-landoo,47,36,135,27,81
dalonsod,30,29,127,58,104
yvaucher,3,9,132,99,121
CasVissers-360ERP,8,5,72,150,166
antoniospneto,33,27,91,83,125
i-vyshnevska,29,15,38,145,172
albariera,49,34,41,105,152
astirpe,23,42,83,81,137
JordiMForgeFlow,36,31,62,97,142
gabrielcardoso21,48,26,40,90,129
GSLabIt,21,17,80,92,123
ps-tubtim,35,13,32,111,136
DarioLodeiros,21,19,100,60,94
dzungtran89,57,45,54,36,96
mbcosta,41,39,59,61,114
moylop260,19,22,100,55,91
jbaudoux,21,15,46,105,131
fredzamoabg,45,24,37,77,114
ajaniszewska-dev,19,7,6,140,154
sbejaoui,31,27,60,52,92
Freni-OSI,68,28,47,5,48
alexey-pelykh,12,14,76,71,97
kos94ok-3D,13,10,80,65,88
SimoneVagile,28,16,45,75,103
PierrickBrun,28,33,43,54,99
bealdav,18,11,56,73,96
flotho,13,8,76,58,78
luc-demeyer,26,22,70,36,71
phuctranfxvn,35,38,35,39,89
atchuthan,16,9,46,86,106
leemannd,19,10,50,64,85
petrus-v,30,10,47,60,82
yankinmax,38,19,51,37,69
florian-dacosta,26,24,39,56,91
manuelregidor,45,35,45,16,64
matteoopenf,13,6,74,49,67
kevinkhao,29,17,50,40,69
AmmarOfficewalaSerpentCS,39,21,68,9,44
RodrigoBM,21,12,59,43,67
brian10048,17,13,72,35,61
grindtildeath,11,11,31,76,96
feketemihai,26,22,53,23,57
jcoux,18,13,34,63,86
JoanMForgeFlow,32,23,20,52,85
olgamarcocb,50,24,6,46,80
hildickethan,26,20,39,39,70
smangukiya,2,1,62,60,70
len-foss,34,26,29,34,71
sonhd91,38,15,18,43,68
AntoniRomera,15,7,69,25,44
bosd,4,4,68,42,56
Kev-Roche,28,14,42,27,53
primes2h,10,3,53,50,63
AdriaGForgeFlow,19,13,12,69,90
Borruso,27,14,26,44,68
RaulOForgeFlow,40,32,4,37,77
nilshamerlinck,25,23,52,11,46
mariadforgeflow,35,24,6,44,76
MateuGForgeFlow,42,33,9,22,64
OpenCode,13,8,46,39,57
jcdrubay,8,5,34,57,71
carlosserratoro,17,13,21,50,72
felipemotter,3,1,30,67,75
Rad0van,12,14,52,20,45
nicomacr,23,18,41,12,41
acsonefho,34,20,9,17,46
ioans73,13,9,33,35,53
max3903,19,8,46,18,37
ygcarvalh,10,6,54,21,38
BernatPForgeFlow,30,18,21,21,49
alan196,30,12,18,30,52
angelmoya,15,8,28,34,51
remi-filament,11,6,40,29,45
DavidBForgeFlow,30,27,6,23,58
andreampiovesana,13,6,15,51,64
damdam-s,15,4,19,44,56
santostelmo,21,13,22,26,48
ThomasBinsfeld,16,12,17,28,48
fernandahf,16,6,30,20,35
jcbr87,10,4,57,2,17
jgrandguillaume,-,-,33,45,51
yostashiro,6,3,21,48,58
cubells,19,11,20,22,42
Cedric-Pigeon,14,12,12,31,50
SilvioC2C,19,12,13,30,50
enriquemartin,12,4,28,30,43
manuelcalerosolis,21,7,23,20,36
Chandresh-OSI,30,16,17,5,31
gdgellatly,4,-,36,32,40
ypapouin,20,11,15,26,45
marcos-mendez,6,-,44,17,26
rconjour,11,7,18,32,47
PieterPaulussen,15,6,14,24,38
luismalta,15,11,16,24,43
Chanakya-OSI,33,11,10,1,21
SplashS,9,5,41,11,25
dhongu,22,18,6,17,42
xAdrianC-Kernet,9,2,29,20,30
xavier-bouquiaux,38,7,9,6,22
chusamo,12,5,17,26,39
Vimal-OSI,27,14,12,6,29
FernandoRomera,2,1,25,32,39
jjscarafia,6,3,33,17,28
braisab,30,24,3,-,31
jado95,11,8,16,23,38
mrcast,-,-,4,56,58
Murtaza-OSI,38,6,4,2,16
alessandrocamilli,10,5,12,23,35
bizzappdev,10,4,32,11,24
ChrisOForgeFlow,18,4,8,26,37
ghost,11,4,30,-,13
MarcoCalcagni,3,-,12,39,44
scigghia,5,1,22,25,33
fdegrave,11,11,23,10,29
hitrosol,17,1,28,2,12
houssine78,3,2,30,19,28
omar7r,15,6,23,7,22
aleuffre,18,12,14,10,30
gaikaz,5,4,23,20,31
