Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;413;475;9;"1.802";"2.739"
ForgeFlow;243;295;9;"1.039";"1.651"
acsone;178;231;14;509;"1.062"
ursais;154;203;5;621;876
akretion;134;175;13;481;880
"ecosoft-odoo";115;172;5;541;944
tegin;78;95;2;310;579
brainbeanapps;76;76;1;139;523
eLBati;54;67;1;185;370
legalsylvain;34;48;1;141;250
"druidoo-dev";29;46;4;178;281
guewen;29;27;1;136;212
grindtildeath;25;34;1;169;213
onesteinbv;24;24;1;91;157
efatto;23;48;1;110;225
"kos94ok-3D";23;27;1;59;77
"vauxoo-dev";20;23;7;58;95
skeller1;19;30;1;90;98
SimoRubi;18;25;1;137;191
camptocamp;18;30;2;83;82
"odoo-brazil";18;60;6;137;210
hbrunn;17;20;1;69;102
sebalix;17;16;1;50;89
"NextERP-Romania";16;20;2;1;19
mymage;15;20;1;73;123
"Jarsa-dev";14;29;1;71;101
SerpentConsultingServices;14;24;5;101;139
flachica;13;32;1;53;146
gurneyalex;13;15;1;55;94
"sygel-technology";12;21;2;89;158
