Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,48,42,9,220,339
acsone,31,44,7,78,180
akretion,19,21,5,120,142
grindtildeath,13,11,1,40,79
ForgeFlow,12,33,7,69,115
ecosoft-odoo,12,25,4,53,101
flachica,9,20,1,21,40
davejames,8,6,1,43,65
guewen,8,2,1,17,32
onesteinbv,8,17,1,18,49
tegin,8,6,2,33,56
vauxoo-dev,8,8,3,18,37
druidoo-dev,7,6,1,35,38
camptocamp,6,12,3,26,40
eLBati,5,4,1,16,31
efatto,5,9,1,18,23
Escodoo,4,1,2,38,27
SerpentConsultingServices,4,16,1,42,42
SimoRubi,4,2,1,33,32
TDu,4,5,1,32,35
simahawk,4,3,1,9,22
skeller1,4,1,1,4,16
solvosci,4,2,2,10,26
sunflowerit,4,4,1,-,8
sygel-technology,4,4,2,22,65
ursais,4,16,2,49,32
luisg123v,3,3,1,11,4
NextERP-Romania,2,-,1,5,2
QubiQ,2,2,1,4,18
Rad0van,2,6,1,31,51
