Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,873,985,11,3.867,5.687
ForgeFlow,445,520,9,1.721,2.725
acsone,341,466,18,976,2.006
ecosoft-odoo,268,465,12,1.251,2.278
akretion,260,441,13,1.096,1.874
ursais,207,319,9,863,1.274
tegin,165,187,2,710,1.128
eLBati,97,121,1,355,646
camptocamp,84,119,6,394,475
brainbeanapps,81,77,1,158,543
vauxoo-dev,77,93,14,251,472
legalsylvain,66,98,1,296,502
guewen,62,56,1,222,395
Escodoo,58,80,2,277,475
simahawk,57,70,1,150,291
corporatehub,51,66,1,36,246
onesteinbv,51,64,1,169,340
efatto,50,92,1,221,402
odoo-brazil,48,108,9,346,538
grindtildeath,46,59,1,270,360
NextERP-Romania,43,63,4,23,174
druidoo-dev,43,60,4,230,361
skeller1,42,54,1,142,227
sygel-technology,36,47,3,208,421
SimoRubi,33,38,1,208,324
solvosci,33,39,2,152,266
sebalix,32,35,1,108,196
hbrunn,31,43,1,106,186
flachica,28,58,1,152,269
SerpentConsultingServices,26,48,5,184,243
