Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,206,288,9,924,1.336
ForgeFlow,160,191,9,604,1.043
ursais,81,108,5,320,440
acsone,79,105,10,277,471
ecosoft-odoo,77,116,5,364,578
akretion,47,60,9,167,335
tegin,45,56,2,141,283
eLBati,33,35,1,83,208
brainbeanapps,31,31,1,64,222
kos94ok-3D,21,25,1,54,69
grindtildeath,16,23,1,76,136
guewen,15,10,1,66,120
legalsylvain,15,26,1,70,116
SimoRubi,12,9,1,59,112
onesteinbv,12,13,1,56,70
sebalix,12,10,1,18,55
NextERP-Romania,11,12,1,-,12
camptocamp,11,14,1,37,48
druidoo-dev,11,21,2,62,101
vauxoo-dev,10,10,5,34,50
SerpentConsultingServices,9,18,4,72,92
luc-demeyer,9,11,1,17,60
tschanzt,9,1,1,14,38
efatto,8,14,1,45,83
solvosci,8,10,1,22,52
SilvioGregorini,7,13,1,73,81
brian10048,7,8,1,28,37
yvaucher,7,5,1,3,48
Jarsa-dev,6,15,1,22,45
hbrunn,6,12,1,25,30
