Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;82;61;9;304;510
ForgeFlow;37;48;8;148;230
ursais;32;51;4;140;213
akretion;30;29;10;98;163
acsone;29;39;7;62;138
brainbeanapps;24;28;1;62;167
"ecosoft-odoo";13;16;5;54;146
tegin;13;12;2;61;109
skeller1;7;11;1;21;31
flachica;6;5;1;21;36
Yasaie;5;26;1;101;31
hbrunn;5;6;1;24;29
legalsylvain;4;4;1;23;46
"odoo-brazil";4;9;3;23;32
"vauxoo-dev";4;5;3;6;21
Comunitea;3;3;3;3;11
"Jarsa-dev";3;6;1;21;23
"NextERP-Romania";3;4;2;"-";2
"druidoo-dev";3;9;1;28;38
efatto;3;7;1;15;37
grindtildeath;3;9;1;46;35
nuobit;3;1;1;4;32
onesteinbv;3;8;1;11;27
"BT-nstuder";2;"-";1;17;21
SerpentConsultingServices;2;4;2;16;24
Tatider;2;"-";1;5;10
"Tonow-c2c";2;1;1;4;14
"adhoc-dev";2;4;1;4;15
camptocamp;2;7;1;22;16
dreispt;2;4;1;6;13
