Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;678;774;11;"3.141";"4.606"
ForgeFlow;377;453;9;"1.566";"2.456"
acsone;296;390;17;820;"1.710"
akretion;204;278;13;852;"1.401"
"ecosoft-odoo";197;311;6;939;"1.672"
ursais;193;274;8;785;"1.158"
tegin;135;160;2;579;938
eLBati;94;113;1;332;597
brainbeanapps;80;77;1;148;539
"vauxoo-dev";57;68;10;158;336
legalsylvain;54;78;1;233;412
camptocamp;51;77;5;238;259
guewen;47;43;1;191;316
grindtildeath;45;59;1;268;338
Escodoo;43;67;2;217;362
efatto;43;86;1;196;348
"druidoo-dev";42;60;4;226;354
onesteinbv;41;57;1;146;282
simahawk;35;44;1;83;177
hbrunn;31;39;1;99;179
"odoo-brazil";31;92;8;266;381
skeller1;31;36;1;110;154
"sygel-technology";31;42;3;198;383
SimoRubi;28;35;1;190;282
"NextERP-Romania";27;59;2;20;107
SerpentConsultingServices;25;48;5;183;237
flachica;25;54;1;132;244
sebalix;25;26;1;76;147
corporatehub;24;39;1;16;117
"kos94ok-3D";24;29;1;69;83
