Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;549;589;9;"2.292";"3.566"
ForgeFlow;288;362;9;"1.239";"2.000"
acsone;232;308;15;636;"1.379"
ursais;166;227;5;693;959
akretion;165;211;13;639;"1.099"
"ecosoft-odoo";143;236;6;747;"1.229"
tegin;112;128;2;467;798
brainbeanapps;80;77;1;148;538
eLBati;72;90;1;260;467
guewen;43;34;1;166;272
grindtildeath;41;54;1;247;317
"druidoo-dev";40;57;4;220;344
camptocamp;38;59;4;145;191
legalsylvain;38;49;1;157;288
onesteinbv;38;44;1;130;246
"vauxoo-dev";32;36;8;88;149
efatto;31;61;1;142;268
skeller1;29;36;1;109;145
hbrunn;26;30;1;84;139
"sygel-technology";25;37;2;172;323
SimoRubi;24;29;1;173;238
flachica;24;52;1;95;214
"kos94ok-3D";24;27;1;69;82
Escodoo;22;47;2;145;172
sebalix;21;21;1;64;111
"NextERP-Romania";20;34;2;15;66
SerpentConsultingServices;20;44;5;153;193
"odoo-brazil";20;66;7;199;253
simahawk;17;19;1;43;94
solvosci;17;19;2;53;144
