Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;137;206;7;526;825
ForgeFlow;91;110;8;344;570
ursais;57;65;5;226;293
acsone;43;54;10;152;276
"ecosoft-odoo";37;61;5;199;313
akretion;26;37;8;93;202
tegin;26;31;2;91;173
eLBati;19;21;1;49;136
SimoRubi;11;7;1;55;102
"NextERP-Romania";10;12;1;"-";12
brainbeanapps;10;17;1;32;93
tschanzt;9;1;1;14;38
SerpentConsultingServices;8;16;4;52;69
grindtildeath;8;13;1;47;76
onesteinbv;8;13;1;49;50
"druidoo-dev";7;9;2;31;66
legalsylvain;7;17;1;26;59
sebalix;7;7;1;12;38
yvaucher;7;5;1;3;48
"Jarsa-dev";6;11;1;17;39
brian10048;6;8;1;28;33
camptocamp;6;8;1;13;27
guewen;6;9;1;36;52
"i-vyshnevska";6;10;1;20;31
GSLabIt;5;6;1;44;37
"Martronic-SA";5;3;1;12;43
NL66278;5;7;1;13;46
SilvioGregorini;5;7;1;53;47
efatto;5;9;1;39;65
Fkawala;4;6;1;41;65
