Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;61;108;7;292;410
ForgeFlow;34;47;7;144;258
ursais;25;22;4;107;132
"ecosoft-odoo";23;22;5;109;195
akretion;17;22;6;28;81
tegin;16;18;2;44;87
acsone;13;31;6;44;105
"NextERP-Romania";10;12;1;"-";12
brainbeanapps;9;16;1;31;80
SimoRubi;8;5;1;39;71
eLBati;7;12;1;17;42
"Martronic-SA";5;2;1;11;41
NL66278;5;7;1;13;46
SerpentConsultingServices;5;8;2;22;39
"druidoo-dev";5;5;1;25;42
onesteinbv;5;4;1;40;35
"Jarsa-dev";4;9;1;13;28
brian10048;4;4;1;16;20
"i-vyshnevska";4;4;1;6;18
legalsylvain;4;10;1;15;41
"vauxoo-dev";4;2;2;3;7
yvaucher;4;3;1;3;17
Fkawala;3;2;1;15;46
GSLabIt;3;2;1;24;18
SilvioGregorini;3;2;1;26;24
StefanRijnhart;3;3;1;8;25
Studio73;3;1;3;4;10
bealdav;3;2;1;"-";26
grindtildeath;3;"-";1;5;19
solvosci;3;6;1;9;21
