Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,75,101,10,371,550
ForgeFlow,50,47,6,189,234
acsone,43,61,8,113,197
ecosoft-odoo,41,55,5,139,310
akretion,22,54,9,132,177
tegin,15,14,2,64,84
vauxoo-dev,15,17,3,25,95
eLBati,14,10,1,28,70
ursais,14,28,5,29,113
simahawk,13,16,1,28,59
Escodoo,12,12,1,37,116
corporatehub,12,20,1,4,63
camptocamp,8,9,3,62,44
legalsylvain,8,15,1,29,51
brian10048,6,1,1,37,51
kmee,6,8,2,48,49
Studio73,5,11,4,25,23
VanMoof,5,7,2,21,31
sygel-technology,5,5,3,20,44
Rad0van,4,-,1,5,23
efatto,4,8,1,22,33
GavyMG,3,3,1,2,9
Jarsa-dev,3,12,1,15,27
NextERP-Romania,3,19,1,4,26
SilvioGregorini,3,-,1,1,42
etobella,3,-,1,4,17
guewen,3,7,1,23,33
hbrunn,3,4,1,8,24
nikul-serpentcs,3,6,1,14,32
nilshamerlinck,3,5,1,17,17
