Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,771,863,11,3.492,5.125
ForgeFlow,422,493,9,1.681,2.647
acsone,320,440,18,938,1.887
ecosoft-odoo,244,430,10,1.175,2.070
akretion,232,344,13,961,1.637
ursais,198,291,8,817,1.215
tegin,149,176,2,652,1.023
eLBati,97,118,1,351,624
brainbeanapps,81,77,1,157,543
camptocamp,67,98,6,332,368
vauxoo-dev,63,77,11,192,392
legalsylvain,62,92,1,271,450
guewen,57,52,1,216,371
Escodoo,51,71,2,250,423
corporatehub,51,65,1,36,244
simahawk,48,58,1,126,248
grindtildeath,46,59,1,270,351
efatto,45,88,1,200,362
onesteinbv,45,64,1,161,315
druidoo-dev,43,60,4,227,359
NextERP-Romania,40,63,3,20,165
odoo-brazil,40,101,9,308,483
skeller1,36,51,1,136,199
sygel-technology,33,43,3,202,399
hbrunn,31,40,1,100,181
sebalix,31,33,1,94,181
SimoRubi,29,37,1,196,299
brian10048,26,33,1,116,186
solvosci,26,33,2,103,224
SerpentConsultingServices,25,48,5,183,239
