User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;34;31;"1.279";705;778
"alexey-pelykh";63;59;267;146;229
max3903;71;57;173;228;307
dreispt;52;24;232;172;218
MiquelRForgeFlow;64;50;138;235;305
rousseldenis;11;9;269;167;196
sbidoul;53;48;234;114;185
AaronHForgeFlow;39;24;204;163;208
simahawk;28;21;217;133;174
Tardo;76;66;134;123;209
legalsylvain;30;19;185;145;183
LoisRForgeFlow;20;21;177;166;205
eLBati;45;33;189;106;159
"sergio-teruel";83;61;101;81;161
yajo;43;45;119;119;181
kittiu;32;22;180;82;123
etobella;29;19;127;121;157
HviorForgeFlow;37;30;82;110;155
"ps-tubtim";59;35;49;113;163
chienandalu;33;34;47;133;180
NL66278;9;5;98;110;128
AdriaGForgeFlow;13;14;35;157;181
bealdav;23;19;102;62;96
ernestotejeda;26;24;56;101;138
jarroyomorales;41;41;63;62;117
astirpe;34;27;62;73;114
StefanRijnhart;14;10;91;81;104
ivantodorovich;24;14;70;70;97
carlosdauden;20;13;42;95;119
Saran440;24;19;63;65;97
bodedra;12;8;67;78;98
manuelcalerosolis;28;11;16;110;130
JordiBForgeFlow;19;12;103;31;58
sbejaoui;33;25;61;33;72
sergiocorato;22;12;57;57;81
grindtildeath;32;19;36;57;88
mileo;20;4;75;33;50
hbrunn;18;11;55;55;78
yvaucher;7;8;90;35;55
"kos94ok-3D";25;22;38;49;82
sebastienbeau;10;9;69;45;65
guewen;12;17;47;51;78
JoanSForgeFlow;40;35;18;28;74
"osi-scampbell";35;29;14;38;77
emagdalenaC2i;9;6;42;41;56
SimoRubi;13;12;44;32;54
newtratip;14;7;29;47;63
"alexis-via";29;27;24;15;52
flachica;35;9;31;7;27
"luc-demeyer";12;12;55;17;40
"i-vyshnevska";19;7;13;50;65
Fkawala;7;4;42;34;47
"CasVissers-360ERP";4;3;30;50;60
tafaRU;3;5;31;48;60
HaraldPanten;"-";1;47;36;44
rvalyi;"-";2;39;39;47
GSLabIt;6;6;34;30;44
brian10048;10;7;14;45;59
lmignon;5;3;38;30;41
alan196;15;9;18;27;44
hparfr;11;2;21;37;47
Yasaie;26;5;12;23;37
moylop260;4;4;37;23;35
sebalix;11;13;15;28;48
SilvioGregorini;13;7;25;20;36
ValentinVinagre;9;5;36;12;26
patrickrwilson;6;6;13;38;50
kongrattapong;8;14;20;17;38
nelsonramirezs;"-";"-";"-";62;62
rafaelbn;"-";"-";20;42;46
"florian-dacosta";4;7;17;30;43
murtuzasaleh;10;7;16;25;39
renatonlima;8;7;15;28;42
gurneyalex;6;6;25;20;33
primes2h;1;1;33;23;31
ThomasBinsfeld;19;5;2;31;42
feketemihai;17;14;13;7;29
kevinkhao;13;8;13;21;36
flotho;4;2;28;16;25
dalonsod;11;9;19;11;28
fmdl;7;1;15;24;32
cubells;11;1;19;16;25
"Tonow-c2c";8;5;4;29;39
luisg123v;7;6;17;16;29
qgroulard;13;8;5;18;32
acysos;7;3;23;6;16
tarteo;10;4;14;13;24
misern2;7;2;14;15;23
"nikul-serpentcs";"-";2;11;25;30
robyf70;1;4;11;23;31
CarlosRoca13;7;5;14;11;22
OpenCode;"-";3;10;23;29
acsonefho;4;2;8;22;29
skeller1;11;7;12;6;20
ecino;12;"-";17;6;14
jimhoefnagels;13;5;8;6;17
alessandrocamilli;6;2;9;15;22
lfreeke;2;1;9;22;27
mrcast;"-";"-";3;31;33
rven;1;3;15;12;20
gdgellatly;"-";"-";6;26;28
"Cedric-Pigeon";6;4;5;13;22
"mourad-ehm";1;3;15;8;16
eantones;6;3;19;"-";10
robinkeunen;4;2;9;11;18
sherpya;11;2;7;3;11
NuriaXifre;6;10;"-";10;22
angelmoya;5;1;13;3;10
clementmbr;5;1;13;7;14
elvise;"-";"-";26;"-";5
mymage;8;1;12;2;9
tschanzt;1;9;5;10;22
"p-tombez";6;4;5;9;18
thomaspaulb;2;3;4;14;20
jgrandguillaume;"-";"-";7;17;20
pegonzalezspesol;5;5;7;5;15
"Martronic-SA";4;7;9;1;13
PierrickBrun;3;2;7;10;16
Rad0van;5;1;13;1;8
jcoux;5;4;1;13;20
"sudhir-erpharbor";7;4;8;2;11
"marco-marchiori";"-";"-";16;6;10
ovnicraft;4;1;12;4;10
rlizana;1;1;12;8;13
"BT-nstuder";4;3;8;6;14
marylla;"-";"-";8;13;16
wpichler;4;5;8;"-";10
RodrigoBM;7;2;10;1;9
TDu;1;1;2;16;19
mbcosta;1;4;10;4;12
ntsirintanis;4;2;8;6;13
Lopsanz;3;"-";14;1;6
MeetKD;"-";"-";1;18;19
bjornbillen;7;1;7;2;8
hpatelserpentcs;2;1;9;5;10
"MPoch-PlanetaTIC";10;"-";5;3;8
ghost;4;3;11;"-";8
"Dangar-Serpentcs";2;3;6;5;12
Tatider;1;2;4;10;15
labaggio;2;2;4;9;14
leemannd;"-";"-";9;8;11
mclaeysb;4;1;6;4;9
wildi1;4;2;6;2;8
"Khalid-SerpentCS";6;3;3;"-";7
PieterPaulussen;3;1;9;3;9
andreampiovesana;"-";"-";5;11;13
gaikaz;2;1;3;10;14
"gva-acsone";"-";"-";3;13;15
igallart;3;2;10;1;8
luffah;"-";"-";16;"-";4
manuelregidor;4;1;5;3;8
marcelsavegnago;3;2;3;8;13
matteoopenf;1;"-";4;11;14
njeudy;1;"-";4;10;13
"Chandresh-SerpentCS";2;2;6;4;10
gabrielcardoso21;5;2;2;5;11
jans23;10;"-";3;"-";5
llacroix;2;1;9;3;8
ludolelarge;5;"-";8;"-";5
"andres-pcg";1;"-";11;1;5
axelpriem;2;"-";10;"-";5
fclementic2c;"-";"-";5;9;11
mmequignon;1;1;1;11;14
okuryan;"-";"-";13;1;5
quentinDupont;2;1;1;9;12
sa3m;2;2;9;1;7
sweenya;"-";"-";"-";14;14
tonygalmiche;"-";"-";5;9;11
"BT-rmartin";"-";"-";2;10;11
mlaitinen;2;"-";5;6;10
baimont;2;3;2;5;11
deivislaya;1;2;2;7;11
jado95;4;2;3;2;8
kurogeek;4;4;4;"-";8
lbelorgey;4;4;1;2;9
nilshamerlinck;2;1;9;"-";5
"pedroortega-punt";"-";"-";12;"-";3
Capriatto;3;"-";4;4;8
EBII;3;"-";3;5;8
amcor;3;3;3;2;8
azmeuk;2;"-";4;5;8
hendrixcosta;2;"-";3;5;8
jaredkipe;5;"-";6;"-";5
jbaudoux;"-";"-";1;10;11
jcdrubay;1;"-";6;3;6
jjscarafia;2;"-";5;3;7
josepmy;"-";"-";11;"-";3
katyukha;5;2;4;"-";6
nikitavaghela;"-";1;6;3;6
phuctranfxvn;7;"-";2;"-";4
traviswaelbro;2;1;7;1;6
vincenzoterzulli;1;2;1;7;11
"FFernandez-PlanetaTIC";1;2;4;3;8
"Laurent-Corron";"-";6;1;2;9
MarcoCalcagni;2;"-";5;3;7
"chafique-delli";1;1;3;5;9
digitalsatori;1;"-";9;"-";4
janverb;5;2;1;2;7
mvaled;"-";"-";7;3;6
ntodorova;2;"-";5;1;5
ruuter;2;2;4;2;7
svalaeys;3;2;3;1;6
NachoAlesLopez;"-";4;"-";5;9
Nooka10;"-";"-";4;"-";2
cvinh;4;2;3;"-";6
"dependabot[bot]";4;3;1;"-";6
"j-zaballa";1;1;4;3;7
jalzaga;"-";"-";7;"-";3
letyf1988;3;"-";3;"-";3
poonlap;2;1;4;1;5
ypapouin;5;1;2;"-";5
"ajaniszewska-dev";3;2;2;1;6
davejames;2;"-";4;2;5
jesusVMayor;3;3;1;1;7
jvpascual;"-";"-";7;"-";3
krunal267;1;1;6;"-";4
lmgr0312;"-";"-";1;7;8
omar7r;2;1;3;2;6
patel1008b;"-";"-";8;"-";3
quentingigon;1;1;6;"-";4
"randall-vx";1;1;1;5;8
sadamo;2;2;2;2;7
vrenaville;1;"-";"-";7;8
yucer;4;"-";3;1;5
Guenzn;3;"-";3;"-";3
IvanShirokikh;2;"-";3;1;4
KareemAbuzaid;3;3;"-";1;6
"LRovira-PlanetaTIC";6;"-";1;"-";3
Nowheresly;3;"-";1;1;4
Tino480;3;"-";"-";4;6
YegorOkhotnikov;"-";"-";"-";7;7
aaltinisik;3;"-";1;"-";3
apineux;2;"-";2;3;6
benwillig;2;"-";1;4;6
bizzappdev;3;"-";2;1;4
chrisdec;"-";"-";"-";7;7
ddufresne;3;1;"-";3;6
em230418;1;"-";6;"-";3
foutoucour;4;"-";1;2;5
"gbaumgartner-callino";2;"-";4;"-";3
"gregory-moka";"-";"-";2;5;6
mdpena;2;1;2;2;6
meigallodixital;"-";"-";7;"-";3
mgosai;"-";1;2;4;6
nicomacr;2;2;2;1;6
oscars8a;2;1;3;1;5
"rajkumar-py";2;"-";4;"-";3
Borruso;2;1;2;"-";4
CiroBoxHub;"-";"-";6;"-";2
MaxyMoos;2;2;1;"-";4
anajuaristi;"-";"-";6;"-";2
antespi;"-";"-";3;"-";2
azucenatrey;2;1;2;"-";4
diggy128;2;3;1;"-";5
gfcapalbo;2;"-";2;2;5
"hioppolo-ia";"-";"-";3;3;5
houssine78;1;"-";4;1;4
ioans73;2;1;1;2;5
lepistone;"-";1;2;"-";2
nhomar;"-";"-";2;4;5
rconjour;2;"-";1;2;4
"richard-willdooit";1;1;4;"-";4
rrakso;1;"-";4;"-";3
sotolucas;"-";"-";4;2;4
tfossoul;1;2;3;"-";5
vvrossem;"-";"-";3;3;5
"willer-mo";3;1;1;1;5
ygol;"-";"-";1;5;6
"yung-wang";"-";"-";6;"-";2
atchuthan;1;1;1;2;5
benbrich;"-";"-";4;1;3
chrisandrewmann;2;"-";"-";1;2
dgomezquilon;"-";"-";2;"-";1
frdmar;2;2;1;"-";4
fuentes73;1;1;"-";3;5
heymanh;1;"-";"-";4;5
jeroenev;"-";"-";3;1;3
kiattipong;1;"-";3;"-";3
maitaoriana;1;1;3;"-";4
mamcode;1;"-";1;3;5
mariaasunciondaza;"-";2;"-";3;5
mathben;2;"-";3;"-";3
matt454357;1;"-";3;1;4
pegonzalezsredcor;2;"-";1;1;3
philhug;3;"-";2;"-";3
remihb;2;1;2;"-";4
"yousef-soliman";2;2;1;"-";4
2zx;1;"-";2;1;3
AMhadhbi;3;"-";"-";"-";2
Abranes;1;1;"-";2;4
DavidNitro;3;"-";"-";"-";2
Menestrels;3;"-";"-";"-";2
NSKTHR;"-";"-";4;"-";2
PCatinean;"-";1;3;"-";3
RRRoger;1;"-";2;"-";2
Saphery;"-";"-";"-";4;4
Vignesh000;"-";"-";4;"-";2
ajayjaviya;2;"-";"-";1;2
alpham;1;1;2;"-";3
"andhit-r";2;"-";"-";1;2
artemsenko;"-";"-";"-";4;4
bguillot;"-";"-";"-";4;4
"blopa98-S73";1;"-";2;"-";2
boskowski;1;1;2;"-";3
eilst;1;1;2;"-";3
horjarobert;2;2;"-";"-";3
javierjcf;2;2;"-";"-";3
