Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;336;396;9;"1.449";"2.249"
ForgeFlow;216;261;9;866;"1.431"
ursais;139;197;5;582;800
acsone;132;174;11;425;784
akretion;106;136;13;379;699
"ecosoft-odoo";105;152;5;492;845
tegin;68;83;2;261;506
brainbeanapps;59;60;1;134;442
eLBati;44;53;1;158;285
legalsylvain;27;42;1;124;211
grindtildeath;22;33;1;151;194
"kos94ok-3D";22;25;1;55;72
onesteinbv;22;24;1;89;143
"druidoo-dev";20;40;4;158;200
efatto;20;39;1;96;187
guewen;19;14;1;102;158
"vauxoo-dev";18;20;7;53;87
SimoRubi;17;19;1;125;174
"NextERP-Romania";16;20;2;1;14
hbrunn;16;20;1;66;88
sebalix;15;15;1;47;76
camptocamp;14;24;2;72;68
skeller1;13;28;1;80;74
SerpentConsultingServices;12;23;5;99;129
"odoo-brazil";12;54;6;82;164
"Jarsa-dev";11;28;1;68;90
gurneyalex;10;13;1;48;79
"sygel-technology";10;20;2;70;136
StefanRijnhart;9;8;1;19;59
flachica;9;32;1;49;109
