User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,88,82,3.235,1.712,1.860
rousseldenis,75,56,624,362,452
dreispt,82,47,449,262,339
alexey-pelykh,102,98,423,229,358
legalsylvain,63,47,385,290,365
simahawk,65,47,392,292,367
kittiu,69,41,423,252,322
max3903,99,83,267,330,439
eLBati,103,80,355,238,347
etobella,61,46,346,320,392
MiquelRForgeFlow,126,89,207,342,457
chienandalu,78,80,157,437,538
sbidoul,93,80,367,175,284
AaronHForgeFlow,69,35,307,277,338
LoisRForgeFlow,59,57,303,273,355
yajo,86,82,236,284,391
sergio-teruel,129,111,204,162,299
Tardo,104,101,196,205,330
HaraldPanten,16,12,210,356,386
marcelsavegnago,56,32,138,328,379
mileo,69,16,235,177,217
sergiocorato,80,40,176,169,231
ivantodorovich,42,30,195,219,269
astirpe,67,59,131,212,291
guewen,61,64,161,170,254
jarroyomorales,87,77,138,162,260
NL66278,17,9,183,244,271
HviorForgeFlow,53,47,141,176,242
Saran440,64,37,156,141,198
bealdav,47,37,180,122,179
ernestotejeda,63,56,96,171,245
ps-tubtim,79,56,81,165,239
StefanRijnhart,34,27,169,143,189
AdriaGForgeFlow,23,27,55,228,267
JordiBForgeFlow,28,21,188,83,123
carlosdauden,31,26,70,185,225
rvalyi,1,3,141,160,176
hbrunn,38,29,125,101,147
bodedra,14,10,86,184,207
grindtildeath,58,45,59,106,166
sbejaoui,47,43,108,82,142
ValentinVinagre,19,17,132,99,132
sebastienbeau,21,18,147,80,115
alexis-via,71,60,81,47,124
yvaucher,22,17,136,78,111
SimoRubi,32,28,104,81,125
gurneyalex,30,19,93,80,114
emagdalenaC2i,21,11,98,78,103
lmignon,16,13,96,90,117
manuelcalerosolis,37,22,31,115,149
Rad0van,28,10,123,43,69
CarlosRoca13,50,40,78,41,97
renatonlima,36,34,49,82,129
i-vyshnevska,34,19,40,103,134
rafaelbn,-,-,82,117,126
tafaRU,11,11,77,98,121
flachica,56,25,69,28,69
dalonsod,23,18,93,54,86
moylop260,16,16,102,54,84
brian10048,30,15,58,81,109
kos94ok-3D,27,24,55,77,114
osi-scampbell,54,44,25,50,106
feketemihai,45,28,67,26,69
jgrandguillaume,-,-,80,96,105
CasVissers-360ERP,8,4,74,86,101
sebalix,24,22,37,85,118
victoralmau,24,7,39,88,106
luc-demeyer,20,16,79,34,63
mymage,26,16,55,45,74
patrickrwilson,17,11,48,71,93
