Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;54;84;10;478;490
ForgeFlow;39;44;8;138;222
acsone;21;21;8;71;134
akretion;17;13;5;81;125
"ecosoft-odoo";13;20;4;53;133
ursais;13;19;4;63;86
corporatehub;12;19;1;12;54
"vauxoo-dev";10;15;6;45;92
Escodoo;9;8;2;35;74
eLBati;8;13;1;44;60
efatto;8;17;1;32;47
legalsylvain;8;14;1;47;73
"odoo-brazil";8;11;3;42;63
tegin;8;18;2;48;56
camptocamp;5;9;2;31;24
simahawk;5;9;1;12;24
"terrabit-ro";5;6;1;5;14
"NextERP-Romania";4;6;1;1;15
SerpentConsultingServices;4;2;1;20;32
SimoRubi;4;3;1;8;26
factorlibre;4;7;3;11;38
gurneyalex;4;4;1;6;15
tafaRU;4;2;1;9;23
"adhoc-dev";3;1;3;20;20
grindtildeath;3;2;1;10;15
sodexis;3;3;1;3;12
solvosci;3;5;1;26;34
"BT-rmartin";2;3;1;10;10
Vauxoo;2;3;2;6;15
alexandreduf;2;5;1;6;18
