Organizations,MPRs,CPRs,Users,Reviews,Cts
ForgeFlow,69,81,9,260,473
Tecnativa,69,82,9,398,511
ecosoft-odoo,40,55,5,165,265
acsone,36,51,7,125,195
ursais,24,43,4,94,147
akretion,21,23,6,74,133
brainbeanapps,21,14,1,32,129
kos94ok-3D,19,21,1,48,45
tegin,19,25,2,50,110
eLBati,14,14,1,34,72
guewen,9,1,1,30,68
grindtildeath,8,10,1,29,60
legalsylvain,8,9,1,44,57
simahawk,6,5,1,-,27
vauxoo-dev,6,7,3,30,40
camptocamp,5,6,1,24,21
luc-demeyer,5,5,1,6,25
sebalix,5,3,1,6,17
druidoo-dev,4,12,1,31,35
onesteinbv,4,-,1,7,20
solvosci,4,3,1,9,25
Change2improve,3,4,1,26,30
KareemAbuzaid,3,3,1,4,5
NachoAlesLopez,3,-,1,5,10
efatto,3,5,1,6,18
flachica,3,26,1,27,50
pegonzalezspesol,3,-,1,2,12
Callino,2,1,1,6,16
LevelPrime,2,-,1,1,6
QubiQ,2,6,1,13,19
