Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;102;122;10;375;562
akretion;28;97;10;135;237
"ecosoft-odoo";24;35;8;76;208
ForgeFlow;23;27;4;40;78
acsone;21;26;8;38;119
camptocamp;17;21;4;62;107
tegin;16;11;2;58;105
"vauxoo-dev";14;16;5;59;80
simahawk;9;12;1;24;43
ursais;9;28;4;46;59
"odoo-brazil";8;7;3;38;55
Escodoo;7;9;1;27;52
solvosci;7;6;2;49;42
onesteinbv;6;"-";1;8;25
skeller1;6;3;1;6;28
TDu;5;5;1;15;26
efatto;5;4;1;21;40
guewen;5;4;1;6;24
sunflowerit;5;22;2;53;69
SimoRubi;4;1;1;12;25
StefanRijnhart;4;27;1;31;11
"adhoc-dev";4;1;2;6;25
decgroupe;4;8;1;11;30
emagdalenaC2i;4;"-";1;"-";16
legalsylvain;4;6;1;25;52
ElvenStudio;3;8;1;6;17
"Jarsa-dev";3;5;1;3;29
"NextERP-Romania";3;"-";2;3;9
VanMoof;3;"-";1;10;16
alessandrocamilli;3;1;1;7;16
