Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,76,98,7,234,415
ForgeFlow,57,63,8,200,312
ursais,32,43,3,119,161
acsone,30,23,9,108,171
ecosoft-odoo,14,39,3,90,118
eLBati,12,9,1,32,94
tegin,10,13,2,47,86
akretion,9,15,6,65,121
tschanzt,8,1,1,12,34
sebalix,7,5,1,10,38
camptocamp,6,8,1,12,27
grindtildeath,5,13,1,42,57
guewen,5,8,1,32,36
SerpentConsultingServices,3,8,3,30,30
SimoRubi,3,2,1,16,31
efatto,3,8,1,38,49
hbrunn,3,5,1,13,18
kittiu,3,4,1,2,11
kmee,3,1,2,14,21
legalsylvain,3,7,1,11,18
onesteinbv,3,9,1,9,15
yvaucher,3,2,1,-,31
GSLabIt,2,4,1,20,19
Jarsa-dev,2,2,1,4,11
SilvioGregorini,2,5,1,27,23
brian10048,2,4,1,12,13
druidoo-dev,2,4,2,6,24
gurneyalex,2,1,1,6,16
i-vyshnevska,2,6,1,14,13
luc-demeyer,2,3,1,7,13
