Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;288;349;9;"1.228";"1.846"
ForgeFlow;197;239;9;752;"1.273"
ursais;113;159;5;460;653
acsone;108;144;10;339;609
"ecosoft-odoo";90;132;5;418;724
akretion;77;89;13;265;498
tegin;58;68;2;202;392
brainbeanapps;55;59;1;126;389
eLBati;33;45;1;101;216
"kos94ok-3D";22;25;1;55;72
grindtildeath;19;32;1;122;171
legalsylvain;19;30;1;93;162
guewen;16;10;1;89;137
onesteinbv;15;21;1;67;97
"NextERP-Romania";14;16;2;"-";14
"druidoo-dev";14;30;2;90;139
"vauxoo-dev";14;15;6;40;71
camptocamp;13;21;1;59;64
sebalix;13;11;1;25;65
SimoRubi;12;13;1;79;118
SerpentConsultingServices;11;22;5;88;116
efatto;11;21;1;60;120
hbrunn;11;18;1;49;59
"Jarsa-dev";9;21;1;43;68
flachica;9;32;1;48;87
"luc-demeyer";9;11;1;17;60
solvosci;9;11;1;24;57
tschanzt;9;1;1;14;38
yvaucher;8;6;1;5;49
SilvioGregorini;7;13;1;77;81
