Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;93;89;11;351;519
"ecosoft-odoo";47;119;9;236;398
ForgeFlow;45;40;5;115;191
akretion;28;66;9;109;236
corporatehub;27;26;1;20;127
acsone;24;50;8;118;177
camptocamp;16;21;3;94;109
tegin;14;16;2;73;85
"NextERP-Romania";13;4;2;"-";58
simahawk;13;14;1;43;71
guewen;10;9;1;25;55
Yasaie;9;"-";1;10;18
"odoo-brazil";9;9;5;42;102
Escodoo;8;4;1;33;61
legalsylvain;8;14;1;38;38
TDu;6;7;1;52;36
sebalix;6;7;1;18;34
"vauxoo-dev";6;9;4;34;56
brian10048;5;2;1;20;25
skeller1;5;15;1;26;45
ursais;5;17;3;32;57
yvaucher;5;6;1;9;24
onesteinbv;4;7;1;15;33
santostelmo;4;1;1;7;25
Borruso;3;4;1;23;24
"Jarsa-dev";3;2;3;19;28
VanMoof;3;2;2;3;7
eLBati;3;5;1;19;27
ozono;3;4;1;21;24
solvosci;3;5;1;13;17
