Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;501;547;9;"2.072";"3.227"
ForgeFlow;276;329;9;"1.170";"1.885"
acsone;201;264;15;558;"1.199"
ursais;162;211;5;644;927
akretion;146;190;13;519;957
"ecosoft-odoo";131;211;5;694;"1.128"
tegin;104;122;2;434;742
brainbeanapps;79;77;1;147;534
eLBati;67;86;1;244;436
legalsylvain;37;49;1;151;279
guewen;35;32;1;149;240
"druidoo-dev";33;51;4;185;306
camptocamp;32;47;3;119;151
onesteinbv;30;27;1;112;197
grindtildeath;28;43;1;207;238
efatto;26;52;1;124;245
skeller1;25;35;1;105;129
hbrunn;24;27;1;76;132
"kos94ok-3D";24;27;1;61;80
"vauxoo-dev";24;28;7;70;112
"sygel-technology";21;33;2;150;258
SimoRubi;20;27;1;140;206
"odoo-brazil";19;63;6;160;226
sebalix;19;16;1;52;99
Escodoo;18;46;1;107;145
"NextERP-Romania";18;34;2;10;64
SerpentConsultingServices;16;28;5;111;151
mymage;16;24;1;79;137
flachica;15;32;1;74;174
"Jarsa-dev";14;29;1;71;102
