Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,48,47,9,221,403
akretion,29,47,8,114,201
ursais,26,38,4,122,147
acsone,24,30,8,86,175
ForgeFlow,19,22,6,114,158
ecosoft-odoo,15,20,5,74,121
eLBati,11,8,1,57,69
tegin,10,15,2,59,114
efatto,9,18,1,36,67
legalsylvain,8,12,1,31,49
onesteinbv,7,3,1,22,46
druidoo-dev,6,10,3,68,61
skeller1,6,17,1,59,43
Escodoo,5,6,1,20,35
SimoRubi,5,6,1,46,56
hbrunn,5,2,1,17,29
odoo-brazil,5,32,2,51,105
sygel-technology,5,9,2,53,84
brainbeanapps,4,1,1,8,53
gurneyalex,4,7,1,16,26
kmee,4,1,3,13,17
vauxoo-dev,4,5,3,13,16
StefanRijnhart,3,2,1,3,11
VanMoof,3,8,1,7,23
grindtildeath,3,1,1,29,23
guewen,3,4,1,13,21
Jarsa-dev,2,7,1,25,22
NextERP-Romania,2,4,1,1,-
QubiQ,2,17,2,19,31
bobslee,2,4,1,4,12
