Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,603,673,11,2.770,4.056
ForgeFlow,327,406,9,1.377,2.222
acsone,253,329,16,707,1.513
akretion,182,224,13,720,1.224
ursais,179,246,6,756,1.045
ecosoft-odoo,156,256,6,800,1.362
tegin,120,146,2,515,854
brainbeanapps,80,77,1,148,538
eLBati,80,103,1,304,527
legalsylvain,46,63,1,204,361
grindtildeath,44,56,1,257,332
guewen,44,36,1,168,283
camptocamp,43,68,4,176,215
druidoo-dev,42,60,4,226,354
vauxoo-dev,42,51,9,133,241
onesteinbv,40,49,1,139,267
efatto,39,78,1,174,315
Escodoo,31,55,2,180,246
skeller1,30,36,1,110,148
SimoRubi,28,32,1,181,264
hbrunn,28,35,1,91,155
odoo-brazil,28,77,7,241,316
sygel-technology,26,37,3,178,339
flachica,25,52,1,96,218
NextERP-Romania,24,40,2,16,81
SerpentConsultingServices,24,46,5,173,225
kos94ok-3D,24,27,1,69,82
sebalix,22,24,1,69,122
simahawk,22,28,1,55,118
solvosci,20,24,2,79,178
