Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,147,161,13,442,674
ForgeFlow,74,97,16,270,411
camptocamp,69,74,17,327,526
akretion,53,94,9,170,322
acsone,46,68,11,214,310
HeliconiaIO,30,30,1,130,233
Escodoo,27,36,5,108,179
Studio73,27,25,8,130,211
hbrunn,24,30,1,93,101
Therp,23,32,6,47,81
dixmit,17,26,2,54,126
moduon,17,17,7,74,110
jbaudoux,15,17,1,63,67
qrtl,14,16,1,143,102
ecosoft-odoo,13,15,4,30,87
NextERP-Romania,12,11,2,4,34
BizzAppDev-Systems,9,(null),1,33,55
mt-software-de,9,6,1,28,46
c4a8-odoo,8,11,2,35,51
BinhexTeam,7,5,5,47,84
PyTech-SRL,7,21,3,43,71
grap,7,20,2,28,65
komit-consulting,6,4,5,43,49
commitsun,5,2,2,1,16
APSL,4,13,3,36,58
CompassionCH,4,3,1,6,23
coopiteasy,4,7,1,14,21
factorlibre,4,5,3,35,39
odooNextev,4,4,3,64,26
sebalix,4,4,1,1,12
