User,CI,CPRs,MPRs,Cts,Reviews
alexey-pelykh,400,(null),(null),20,396
pedrobaeza,385,17,22,412,339
marcos-mendez,176,21,(null),22,167
BhaveshHeliconia,171,30,30,76,127
rousseldenis,135,6,8,144,113
jbaudoux,135,17,15,86,107
hbrunn,106,30,24,63,69
lmignon,106,21,21,71,72
victoralmau,105,54,48,29,44
luisDIXMIT,83,8,4,29,71
CristianoMafraJunior,82,26,16,26,56
LoisRForgeFlow,74,13,14,53,49
rvalyi,71,24,11,82,46
christian-ramos-tecnativa,69,7,10,34,51
AungKoKoLin1997,67,11,14,24,45
etobella,63,18,13,81,37
carlos-lopez-tecnativa,62,7,7,7,50
MiquelRForgeFlow,61,11,12,28,40
yankinmax,60,16,13,96,33
yostashiro,56,1,(null),5,53
cyrilmanuel,53,11,7,59,35
ivantodorovich,52,6,8,19,37
AaronHForgeFlow,46,13,5,26,32
legalsylvain,44,16,6,79,25
NL66278,44,7,3,31,33
monen17,41,2,3,20,32
Reyes4711-S73,41,(null),(null),14,37
rrebollo,40,5,2,28,30
stenext,40,1,(null),5,37
thomaspaulb,39,13,13,37,16
marcelsavegnago,39,3,4,28,28
mt-software-de,37,6,9,15,22
simahawk,36,5,3,24,26
CRogos,36,9,7,20,22
HviorForgeFlow,35,(null),(null),39,29
cristina-hidalgo-tecnativa,35,13,14,2,16
TDu,35,4,6,5,25
florian-dacosta,31,11,7,13,17
vvrossem,31,4,3,15,22
alexis-via,29,20,12,39,6
Saran440,29,10,10,18,12
gdgellatly,29,4,2,21,20
Andrii9090-tecnativa,28,28,17,8,3
divad1196,28,10,5,17,16
eLBati,28,7,2,14,20
StefanRijnhart,28,2,2,11,21
yajo,28,2,1,8,23
CarlosRoca13,27,13,15,13,5
DavidJForgeFlow,26,16,7,6,13
sbidoul,26,4,4,28,15
eduezerouali-tecnativa,26,3,3,14,18
chienandalu,26,8,6,5,15
antoniospneto,26,(null),(null),9,23
WesleyOliveira98,26,5,5,1,18
cvinh,25,16,2,4,17
JordiMForgeFlow,24,4,5,8,14
StuartJMackintosh,24,2,1,4,20
mmequignon,23,2,1,15,17
pilarvargas-tecnativa,23,8,5,2,14
grindtildeath,22,6,3,5,14
sebastienbeau,21,4,3,26,11
dreispt,20,19,3,15,9
EmilioPascual,20,3,1,13,14
wouitmil,20,2,1,3,16
carlosdauden,20,(null),(null),2,19
peluko00,19,5,2,12,11
Borruso,19,5,2,9,12
sergio-teruel,19,4,3,8,11
JasminSForgeFlow,19,8,8,3,6
Shide,19,4,5,4,10
dannyadair,19,(null),(null),1,18
gregory-rutecki,18,12,(null),18,10
sbejaoui,18,13,2,6,10
feketemihai,18,10,11,10,1
pablo-cort-s73,18,3,4,9,9
PaulaMForgeFlow,17,7,5,6,7
dependabot[bot],17,12,12,2,(null)
tendil,17,3,(null),2,14
santostelmo,17,(null),6,(null),11
HaraldPanten,16,(null),(null),21,11
metaminux,16,11,2,12,7
nicolas-delbovier-acsone,16,11,3,5,7
sergiocorato,16,9,1,8,9
paradoxxxzero,16,6,9,5,2
mbcosta,15,11,7,4,3
raumschmiede-joshuaL,14,8,3,20,4
sebalix,14,4,4,20,4
SirPyTech,14,6,4,15,4
marielejeune,14,4,1,6,9
JordiBForgeFlow,14,3,1,7,9
rjaraspearhead,14,2,1,2,10
Vicent-S73,13,6,8,8,(null)
micheledic,13,2,1,7,8
Kiplangatdan,13,6,6,(null),5
dalonsod,13,(null),1,5,10
