Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,188,208,12,436,775
ForgeFlow,42,97,13,155,252
acsone,31,64,11,148,286
Therp,25,30,5,61,90
Escodoo,23,37,3,118,156
hbrunn,22,29,1,76,65
akretion,20,38,10,73,185
camptocamp,19,39,12,208,204
dixmit,17,19,2,55,83
HeliconiaIO,16,(null),1,77,126
PyTech-SRL,13,16,3,44,108
Studio73,13,19,7,79,142
jbaudoux,13,16,1,25,57
moduon,13,7,8,52,76
qrtl,13,28,2,146,115
sygel-technology,12,13,2,68,84
Engenere,11,16,2,49,95
adhoc-dev,10,5,6,33,64
sebalix,9,10,1,4,24
commitsun,8,8,2,5,28
BizzAppDev-Systems,7,(null),1,39,55
coopiteasy,7,4,3,22,51
NextERP-Romania,6,9,2,(null),21
BinhexTeam,5,19,3,20,70
gurneyalex,5,6,1,10,24
lefilament,5,9,1,16,42
thomaspaulb,5,5,1,1,7
vauxoo-dev,5,3,4,9,23
cetmix,4,6,2,6,40
APSL,3,5,2,26,19
