Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,422,478,14,1.107,1.864
ForgeFlow,169,281,19,620,967
akretion,125,197,16,373,816
camptocamp,122,153,19,679,955
acsone,107,182,17,494,852
Escodoo,72,115,5,331,501
moduon,69,79,8,363,469
HeliconiaIO,66,38,1,280,548
hbrunn,60,70,1,205,234
Therp,55,84,6,158,253
Studio73,52,74,12,314,487
qrtl,49,69,4,448,398
dixmit,48,66,2,156,277
PyTech-SRL,43,59,6,152,315
jbaudoux,41,45,1,105,171
commitsun,33,22,2,12,112
vauxoo-dev,31,40,4,34,57
BinhexTeam,30,51,8,149,322
grap,27,29,2,52,204
sygel-technology,23,24,3,117,167
BizzAppDev-Systems,21,22,1,105,152
NextERP-Romania,20,24,3,4,63
ecosoft-odoo,18,47,4,69,138
terrabit-ro,18,18,1,(null),71
sebalix,17,18,1,13,47
cetmix,15,23,4,84,127
coopiteasy,15,16,3,47,94
c4a8-odoo,13,22,2,74,125
StefanRijnhart,12,10,1,36,59
mt-software-de,12,22,1,55,79
