User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,693,80,71,626,588
jbaudoux,177,42,39,116,121
victoralmau,162,76,74,34,73
CristianoMafraJunior,160,48,24,35,123
hbrunn,144,40,36,88,92
etobella,142,32,24,84,103
yostashiro,132,8,4,41,119
rousseldenis,125,9,7,135,103
AungKoKoLin1997,115,38,29,66,72
luisDIXMIT,113,9,7,19,99
marcelsavegnago,112,9,5,83,95
AaronHForgeFlow,112,8,1,29,103
rvalyi,101,22,21,113,65
christian-ramos-tecnativa,97,21,22,35,65
NL66278,94,13,10,64,72
LoisRForgeFlow,92,15,14,76,65
carlos-lopez-tecnativa,91,25,20,28,61
thomaspaulb,90,24,21,113,53
legalsylvain,90,7,14,93,64
MiquelRForgeFlow,89,17,12,44,66
Reyes4711-S73,88,(null),(null),37,82
StefanRijnhart,82,9,10,63,61
BhaveshHeliconia,81,8,36,61,34
WesleyOliveira98,78,16,11,2,62
ivantodorovich,72,13,8,17,56
EmilioPascual,71,17,17,35,44
sbidoul,70,19,19,111,36
lmignon,64,15,10,44,43
flotho,63,2,3,28,53
simahawk,58,2,2,39,48
yajo,58,9,5,28,45
dreispt,56,36,1,36,43
rrebollo,54,18,7,56,35
CRogos,53,10,5,60,37
nobuQuartile,53,4,1,6,48
antoniospneto,50,6,4,24,39
odooNextev,50,9,4,23,38
SirPyTech,47,32,26,36,9
sebalix,47,14,16,28,22
JasminSForgeFlow,46,58,14,11,21
Shide,46,14,4,26,33
alexis-via,45,33,24,52,8
sergiocorato,45,5,3,35,34
chienandalu,45,7,5,5,35
Saran440,44,28,5,38,28
monen17,43,5,2,39,33
guewen,42,5,2,12,34
ValentinVinagre,42,2,2,8,36
eduezerouali-tecnativa,41,17,16,14,17
kanda999,38,3,1,(null),35
CarlosRoca13,37,22,17,11,12
cyrilmanuel,37,1,2,30,29
mt-software-de,37,16,3,14,26
cristina-hidalgo-tecnativa,37,18,9,7,21
Andrii9090,37,11,11,14,19
AEstLo,36,2,2,25,28
yankinmax,36,4,3,20,27
kaynnan,36,6,5,12,25
eLBati,35,11,3,33,23
JordiMForgeFlow,35,9,6,19,22
florian-dacosta,35,4,1,19,28
Andrii9090-tecnativa,35,20,14,6,14
pilarvargas-tecnativa,35,14,11,5,18
ivs-cetmix,34,2,1,82,23
bosd,34,9,7,48,17
vvrossem,34,8,9,13,19
TDu,34,8,5,13,23
david-banon-tecnativa,34,15,15,3,13
leemannd,33,2,2,77,21
yvaucher,33,2,1,55,23
nicolas-delbovier-acsone,33,23,8,28,15
moylop260,33,29,23,23,(null)
HaraldPanten,33,(null),(null),37,27
gurneyalex,33,6,5,13,22
sbejaoui,32,8,6,19,19
petrus-v,30,9,2,14,21
santostelmo,30,2,1,12,24
Anxo82,29,13,11,33,9
hparfr,29,1,2,21,21
sergio-teruel,29,5,6,13,17
remi-filament,28,9,6,32,13
felipemotter,28,11,7,26,13
edescalona,28,5,3,28,17
DavidJForgeFlow,28,15,13,11,8
DarioLodeiros,27,6,7,29,12
huguesdk,27,6,7,15,14
LauraCForgeFlow,26,10,13,8,7
ntsirintanis,26,10,2,10,18
jesusVMayor,26,15,22,(null),(null)
quirino95,26,4,2,2,21
Borruso,25,37,6,18,9
MaurizioPellegrinet,25,(null),(null),4,23
HviorForgeFlow,24,(null),(null),22,19
Tisho99,24,9,7,12,11
sebastienbeau,24,1,1,17,18
