Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,275,317,12,665,1.190
ForgeFlow,95,184,16,350,556
akretion,72,103,14,203,493
acsone,61,114,15,280,542
camptocamp,53,79,15,352,429
moduon,52,62,8,289,359
Escodoo,45,79,4,223,322
HeliconiaIO,36,8,1,150,315
PyTech-SRL,36,38,6,109,244
hbrunn,36,40,1,112,133
qrtl,35,53,4,305,296
Therp,32,52,5,111,172
dixmit,31,40,2,102,151
commitsun,28,20,2,11,96
vauxoo-dev,27,34,4,29,51
jbaudoux,26,28,1,42,104
Studio73,25,49,10,184,276
BinhexTeam,23,46,6,102,238
grap,20,9,2,24,139
sygel-technology,20,24,3,110,133
terrabit-ro,14,14,1,(null),59
sebalix,13,14,1,12,35
BizzAppDev-Systems,12,22,1,72,97
cetmix,12,14,3,41,96
Engenere,11,17,2,49,98
coopiteasy,11,9,3,33,73
StefanRijnhart,10,8,1,29,52
adhoc-dev,10,14,6,55,91
NextERP-Romania,8,13,2,(null),29
bosd,7,9,1,32,81
