User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,1062,97,93,1038,927
alexey-pelykh,530,4,1,23,522
jbaudoux,304,59,54,202,228
victoralmau,258,130,122,63,117
rousseldenis,252,15,15,279,216
BhaveshHeliconia,245,38,66,137,161
hbrunn,242,70,60,151,161
CristianoMafraJunior,235,74,40,61,179
etobella,197,50,37,165,140
luisDIXMIT,192,17,11,48,170
yostashiro,186,9,4,46,172
AungKoKoLin1997,176,49,43,90,117
marcos-mendez,176,21,(null),22,167
rvalyi,164,46,32,195,111
lmignon,163,36,31,115,115
christian-ramos-tecnativa,162,28,32,69,116
LoisRForgeFlow,159,28,28,129,114
AaronHForgeFlow,153,21,6,55,135
carlos-lopez-tecnativa,150,32,27,35,111
marcelsavegnago,146,12,9,111,123
MiquelRForgeFlow,144,28,24,72,106
NL66278,132,20,13,95,105
legalsylvain,127,23,20,172,89
Reyes4711-S73,126,(null),(null),51,119
thomaspaulb,121,37,34,150,69
ivantodorovich,119,19,16,36,93
StefanRijnhart,106,11,12,74,82
WesleyOliveira98,102,21,16,3,80
sbidoul,91,23,23,139,51
yankinmax,91,20,16,116,60
simahawk,90,7,5,63,74
rrebollo,88,23,9,84,65
EmilioPascual,87,20,18,48,58
cyrilmanuel,86,12,9,89,64
CRogos,84,19,12,80,59
yajo,83,11,6,36,68
monen17,80,7,5,59,65
antoniospneto,74,6,4,33,62
dreispt,71,55,4,51,52
mt-software-de,70,22,12,29,48
Saran440,69,38,15,56,40
cristina-hidalgo-tecnativa,69,31,23,9,37
flotho,69,2,3,31,59
chienandalu,68,15,11,10,50
alexis-via,67,53,36,91,14
TDu,67,12,11,18,48
eduezerouali-tecnativa,64,20,19,28,35
florian-dacosta,63,15,8,32,45
Andrii9090-tecnativa,62,49,31,17,20
Shide,62,18,9,30,43
vvrossem,62,12,12,28,41
JasminSForgeFlow,61,66,22,14,27
CarlosRoca13,60,35,32,24,17
nobuQuartile,60,5,1,7,54
eLBati,59,18,5,47,43
sebalix,57,18,20,48,26
sergiocorato,57,14,4,43,43
SirPyTech,56,38,30,51,13
HviorForgeFlow,56,(null),(null),61,48
JordiMForgeFlow,56,13,11,27,36
pilarvargas-tecnativa,55,22,16,7,32
odooNextev,54,12,5,28,40
DavidJForgeFlow,51,31,20,17,21
guewen,48,9,3,17,38
sbejaoui,47,21,8,25,29
santostelmo,47,2,7,12,35
HaraldPanten,46,(null),(null),58,38
nicolas-delbovier-acsone,45,34,11,33,22
sergio-teruel,45,9,9,21,28
ValentinVinagre,45,2,2,10,38
kanda999,44,6,1,(null),41
david-banon-tecnativa,43,21,18,4,18
ivs-cetmix,42,4,2,94,28
sebastienbeau,42,5,4,43,29
kaynnan,42,9,6,13,29
Borruso,41,42,8,27,21
gurneyalex,41,8,5,24,28
grindtildeath,41,14,8,14,26
mmequignon,41,5,4,21,30
carlosdauden,41,3,1,12,35
yvaucher,40,3,2,61,28
cvinh,40,24,3,20,28
stenext,40,1,(null),5,37
AEstLo,39,2,2,25,31
hparfr,39,2,2,24,31
leemannd,37,4,4,98,21
bosd,37,11,9,54,17
moylop260,37,33,26,24,(null)
peluko00,37,9,4,30,25
LauraCForgeFlow,36,16,18,9,11
remi-filament,35,9,9,36,17
petrus-v,35,9,2,15,26
gdgellatly,34,12,3,22,23
Andrii9090,33,10,11,11,16
bizzappdev,32,22,27,(null),(null)
Anxo82,31,13,12,35,9
paradoxxxzero,31,26,16,9,7
metaminux,31,15,5,19,18
ntsirintanis,31,13,3,12,21
Kiplangatdan,31,13,10,2,16
MaurizioPellegrinet,31,(null),(null),5,29
DarioLodeiros,30,7,9,34,13
adasatorres,30,8,6,26,16
felipemotter,30,12,7,27,14
jesusVMayor,30,16,25,1,(null)
feketemihai,29,22,18,28,1
dhongu,29,18,18,22,2
HekkiMelody,29,11,2,23,19
AndreuOForgeFlow,29,9,5,17,17
Tisho99,29,9,9,19,13
huguesdk,29,7,7,19,15
quirino95,29,5,2,2,23
edescalona,28,5,3,28,17
divad1196,28,10,5,17,16
cuongnmtm,28,2,3,17,19
tendil,28,9,6,2,18
amh-mw,28,2,3,7,21
mariancuadranetkia,27,3,3,27,17
micheledic,27,3,2,22,19
pablo-cort-s73,27,6,4,14,17
SilvioC2C,27,10,9,5,13
hildickethan,27,1,1,8,22
rafaelbn,25,(null),(null),29,20
TheMule71,25,8,6,22,11
imlopes,25,6,5,20,13
JoanSForgeFlow,25,8,3,7,17
bealdav,25,3,3,11,17
StuartJMackintosh,25,2,1,5,20
huan-tq,25,(null),(null),(null),25
RicardCForgeFlow,24,12,8,18,8
StephaneMangin,24,7,2,18,15
arnaudlayec,24,10,3,3,16
wouitmil,24,3,1,3,20
GuillemCForgeFlow,24,3,2,11,17
mihien,24,7,7,6,12
acysos,23,2,(null),26,16
bguillot,23,(null),(null),22,18
Vang-NguyenPhu,23,8,1,8,16
marielejeune,23,5,5,9,13
nihelgabsi-acsone,23,6,(null),2,19
AnizR,23,1,1,3,19
Gelojr,23,(null),(null),1,22
arantxa-s73,22,11,11,13,4
eugenios73,22,11,4,11,11
andreampiovesana,22,2,1,15,16
dalonsod,22,3,4,10,13
VBNext,22,1,1,5,18
ferran-S73,22,1,1,2,19
copilot-pull-request-reviewer[bot],22,(null),(null),(null),22
mbcosta,21,15,9,12,5
JordiBForgeFlow,21,4,2,13,13
KKamaa,21,11,5,3,11
Jaimermaccione,21,(null),(null),9,18
Vicent-S73,20,18,12,14,(null)
mathben,20,12,3,17,9
PaulaMForgeFlow,20,8,6,6,9
cgarcia-solvos,20,7,3,9,11
Camille0907,20,6,6,4,10
jappi00,20,1,1,8,15
sbiosca-s73,20,2,3,5,13
jguenat,19,8,5,14,7
stferraro,19,8,(null),10,13
dependabot[bot],19,15,14,2,(null)
sergijPf,19,9,3,7,10
florentx,19,6,6,1,10
dannyadair,19,(null),(null),1,18
tafaRU,18,4,(null),37,10
gregory-rutecki,18,12,(null),18,10
NICO-SOLUTIONS,18,9,4,24,6
gfcapalbo,18,4,2,3,12
jelenapoblet,17,(null),(null),32,11
weinni2000,17,3,1,14,11
mymage,17,1,1,11,12
anusriNPS,17,6,8,5,4
hieulucky111,17,5,2,3,11
RabbitJon-S73,17,2,(null),2,14
mpascuall,17,1,1,(null),15
Ricardoalso,16,10,2,7,8
quentinDupont,16,6,7,12,3
BernatObrador,16,6,1,9,10
muaazsiddiq,16,9,3,6,8
Kev-Roche,16,6,(null),1,13
ddejong-therp,16,2,(null),6,12
sabrinaRMartin,16,3,10,3,3
gbrito,16,(null),(null),(null),16
francesco-ooops,15,(null),(null),34,9
tobiaszehntner,15,9,5,10,4
diggy128,15,5,2,10,8
lorenzomorandini,15,(null),(null),13,11
ROBBYHOOD9,15,6,2,3,9
ArnauCForgeFlow,14,9,4,16,3
DiegoParadeda,14,11,1,9,7
raumschmiede-joshuaL,14,8,3,20,4
MarinaAForgeFlow,14,9,1,10,7
aritzolea,14,6,4,9,5
mileo,14,8,1,5,8
thienvh332,14,11,7,7,1
giarve,14,1,4,1,8
u0f,14,3,6,9,3
ThiagoMForgeFlow,14,4,6,3,4
rjaraspearhead,14,2,1,2,10
kobros-tech,13,11,(null),54,2
lef-adhoc,13,5,6,15,1
chaule97,13,8,5,12,2
len-foss,13,3,3,10,5
Alexgars73,13,8,4,8,3
atgalvez08,13,7,5,3,4
Mohajiro,13,9,6,1,3
blackne0n,13,1,(null),9,9
juancarlosonate-tecnativa,13,5,1,3,8
em230418,13,(null),(null),6,11
sergioM-S73,13,4,4,4,5
Honeyxilia,12,8,5,10,1
ecino,12,3,4,16,2
jans23,12,4,2,11,5
MohamedOsman7,12,3,1,11,6
ljmnoonan,12,1,1,12,7
sergiobstoj,12,5,2,3,6
david-s73,12,2,3,5,5
ppyczko,12,(null),(null),(null),12
desdelinux,12,1,(null),4,9
mourad-ehm,12,(null),1,3,9
henrybackman,12,1,(null),(null),11
antoniodavid,11,1,2,(null),8
Hugo-Trentesaux,11,3,(null),3,8
celm1990,11,2,1,6,6
rven,11,2,3,6,4
hoangtrann,11,(null),1,2,9
acsonefho,11,(null),(null),(null),11
Aldeigja,11,1,(null),3,8
twalter-c2c,11,1,(null),2,9
Quan-nhm,11,(null),(null),1,10
dnplkndll,10,21,1,8,2
mmircoli-nexapp,10,3,(null),27,3
tarteo,10,5,1,11,3
lbarry-apsl,10,5,2,10,3
miquelalzanillas,10,3,1,13,4
matteonext,10,3,3,5,3
quoc-pn,10,4,1,6,5
fkantelberg,10,1,2,5,5
maisim,10,(null),1,7,6
RyanTranAVB,10,(null),1,4,7
SuShanVoong,10,3,1,4,5
adrip-s73,10,4,4,2,3
rolandojduartem,10,(null),(null),5,8
miguel-S73,10,3,1,(null),7
primes2h,10,(null),1,3,7
javierizaca,10,(null),(null),1,9
deeniiz,9,14,2,14,(null)
ellbristow,9,8,1,5,3
tishmen,9,1,5,8,(null)
samirGuesmi,9,3,(null),5,5
MaxyMoos,9,4,4,5,1
cubells,9,3,1,6,4
renatonlima,9,4,3,1,3
DenerWilliam,9,4,1,4,4
qgroulard,9,4,2,5,3
vincent-hatakeyama,9,4,(null),4,5
MarcoCalcagni,9,1,(null),5,6
ArantxaSudon,9,(null),(null),4,7
AdrianaSaiz,9,2,(null),2,6
abhinavvaidya-tsd,9,(null),(null),1,8
AnmollGarg,8,3,2,19,(null)
bartacruz,8,6,3,9,(null)
astirpe,8,7,3,4,(null)
ypapouin,8,5,1,10,2
mdurepos,8,3,(null),6,4
ikus060,8,1,(null),9,4
isturiz,8,3,2,8,1
ByteMeAsap,8,3,4,2,1
IriaAlonso,8,6,2,4,2
luciaavanzosc,8,7,5,(null),(null)
zamberjo,8,2,1,5,3
mathiasfrancke,8,3,(null),1,5
jcoux,8,1,3,3,2
hoattk-komit,7,12,1,4,1
Kimkhoi3010,7,6,2,2,1
anthonissen-a,7,6,1,6,1
glitchov,7,5,2,1,2
P-H-Phuc,7,5,1,2,2
dtec-landoo,7,3,2,9,(null)
Pani-k-folk,7,3,1,(null),4
TheerayutEncoder,7,1,1,5,3
baguenth,7,2,1,5,2
fapruzzese-rapsodoo,7,(null),(null),7,4
Abranes,7,1,(null),(null),6
lmarion-source,7,4,1,(null),4
FernandoRomera,7,4,4,1,(null)
arielbarreiros96,7,1,(null),4,4
