User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,420,55,49,390,344
victoralmau,98,46,43,18,44
luisDIXMIT,93,5,6,15,81
hbrunn,88,29,22,60,53
jbaudoux,87,16,13,57,62
CristianoMafraJunior,84,23,12,19,63
etobella,70,14,11,29,50
NL66278,64,7,6,36,49
christian-ramos-tecnativa,64,11,13,17,44
yostashiro,59,6,2,18,50
rousseldenis,58,6,3,59,45
AaronHForgeFlow,57,5,(null),12,51
thomaspaulb,50,15,17,39,23
AungKoKoLin1997,50,18,11,15,31
carlos-lopez-tecnativa,50,15,13,15,29
MiquelRForgeFlow,48,4,1,19,41
dreispt,46,18,1,28,35
simahawk,44,1,1,24,37
WesleyOliveira98,43,9,7,2,32
LoisRForgeFlow,42,10,9,39,24
antoniospneto,42,6,4,22,31
StefanRijnhart,40,4,3,35,29
rvalyi,40,3,5,35,27
lmignon,40,10,8,26,24
marcelsavegnago,39,(null),(null),24,34
sbidoul,37,9,11,54,16
legalsylvain,37,1,2,29,29
Reyes4711-S73,35,(null),(null),15,31
ivantodorovich,35,3,3,10,27
flotho,35,1,(null),10,31
Saran440,32,20,3,24,20
david-banon-tecnativa,32,14,15,2,12
yvaucher,31,2,1,51,21
guewen,31,5,2,10,24
eLBati,30,8,3,26,19
monen17,30,5,2,24,21
sergiocorato,30,2,2,24,22
CarlosRoca13,30,16,13,9,10
nobuQuartile,30,2,(null),3,27
CRogos,29,5,2,33,19
cyrilmanuel,29,1,1,29,22
BhaveshHeliconia,29,(null),16,18,9
AEstLo,28,1,2,20,21
felipemotter,27,10,7,24,12
Andrii9090-tecnativa,27,17,14,4,7
pilarvargas-tecnativa,27,10,9,4,13
mt-software-de,26,9,2,9,18
kaynnan,26,5,4,11,16
eduezerouali-tecnativa,26,10,10,4,11
HaraldPanten,25,(null),(null),33,19
sebalix,25,10,9,15,9
odooNextev,25,6,3,9,17
santostelmo,25,2,1,7,20
remi-filament,24,9,5,23,11
cristina-hidalgo-tecnativa,24,8,6,5,13
yankinmax,23,4,1,12,17
Anxo82,22,7,8,21,7
gurneyalex,22,6,5,8,12
petrus-v,21,8,2,11,13
SirPyTech,20,16,10,20,2
EmilioPascual,20,3,4,11,11
huguesdk,19,3,4,12,10
JasminSForgeFlow,18,33,7,5,3
rrebollo,18,12,1,17,9
nicolas-delbovier-acsone,18,8,(null),11,12
sergio-teruel,18,1,3,9,11
ValentinVinagre,18,(null),(null),4,16
Borruso,17,34,2,9,6
carlosdauden,17,3,1,9,11
metaminux,16,4,3,6,9
vvrossem,16,2,3,5,9
Jaimermaccione,16,(null),(null),7,13
cuongnmtm,16,(null),(null),7,13
amh-mw,16,(null),(null),3,14
bosd,15,(null),3,19,8
HviorForgeFlow,15,(null),(null),16,11
sbejaoui,15,3,4,11,6
DavidJForgeFlow,15,9,5,4,5
Tisho99,15,6,4,7,6
gbrito,15,(null),(null),(null),15
florian-dacosta,14,4,(null),8,9
MaurizioPellegrinet,14,(null),(null),2,13
Kiplangatdan,13,7,4,2,5
RicardCForgeFlow,13,3,4,6,5
quirino95,13,1,2,2,9
TDu,13,3,2,2,8
chienandalu,13,1,2,4,8
AnizR,13,(null),1,1,11
StephaneMangin,12,5,(null),12,6
imlopes,12,(null),2,16,6
ntsirintanis,12,3,2,6,6
JordiMForgeFlow,12,6,4,5,3
LauraCForgeFlow,12,4,5,1,4
mmequignon,12,2,1,5,7
mihien,12,(null),2,1,9
tafaRU,11,2,(null),32,4
ivs-cetmix,11,2,1,23,4
feketemihai,11,8,5,10,(null)
Ricardoalso,11,8,1,5,5
sebastienbeau,11,1,1,9,6
grindtildeath,11,3,1,5,6
micheledic,11,1,(null),7,7
TheMule71,11,4,2,3,5
ferran-S73,11,1,1,1,8
lef-adhoc,10,1,5,7,1
stferraro,10,3,(null),6,6
DarioLodeiros,10,2,1,7,5
JoanSForgeFlow,10,5,2,2,4
KKamaa,10,3,1,3,6
Shide,10,1,1,7,5
diggy128,10,2,2,4,5
cgarcia-solvos,10,2,(null),1,8
hildickethan,10,(null),1,3,7
kanda999,10,2,(null),(null),9
yajo,10,2,2,(null),7
leemannd,9,2,1,20,2
paradoxxxzero,9,13,3,1,1
mathben,9,4,1,9,3
jguenat,9,3,1,8,3
mbcosta,9,4,2,8,2
adasatorres,9,3,2,7,3
jesusVMayor,9,6,7,(null),(null)
HekkiMelody,9,(null),(null),7,6
VBNext,9,1,(null),1,7
acsonefho,9,(null),(null),(null),9
blackne0n,9,(null),(null),1,8
Honeyxilia,8,4,3,8,(null)
thienvh332,8,5,3,4,1
arantxa-s73,8,3,4,5,(null)
bizzappdev,8,(null),8,(null),(null)
eugenios73,8,2,2,4,3
lorenzomorandini,8,(null),(null),7,5
sergijPf,8,3,(null),5,4
bealdav,8,(null),1,3,5
peluko00,8,1,1,3,4
GuillemCForgeFlow,8,1,1,1,5
alexis-via,7,5,2,8,(null)
bguillot,7,(null),(null),11,4
arnaudlayec,7,4,(null),1,4
mdurepos,7,3,(null),4,3
dhongu,7,3,3,4,(null)
giarve,7,(null),3,(null),4
florentx,7,4,(null),1,4
hparfr,7,(null),(null),4,5
mathiasfrancke,7,2,(null),1,5
vincent-hatakeyama,7,2,(null),3,4
BernatObrador,7,1,(null),1,5
SilvioC2C,7,2,2,2,2
adrip-s73,7,2,2,1,3
Vang-NguyenPhu,7,1,(null),1,5
kobros-tech,6,2,(null),16,1
mmircoli-nexapp,6,2,(null),13,1
edescalona,6,1,(null),10,2
moylop260,6,2,1,10,(null)
muaazsiddiq,6,9,1,1,1
JordiBForgeFlow,6,(null),(null),4,4
anthonissen-a,6,3,1,5,1
cvinh,6,3,(null),7,2
gdgellatly,6,8,(null),(null),3
sergiobstoj,6,4,1,2,2
tobiaszehntner,6,5,1,3,1
hoattk-komit,6,5,1,2,1
innovara,6,2,2,5,(null)
lbarry-apsl,6,2,2,4,1
rafaelbn,6,(null),(null),5,4
IriaAlonso,6,3,2,2,1
andreampiovesana,6,(null),(null),4,4
cubells,6,2,1,3,2
AndreuOForgeFlow,6,1,1,3,2
kopeyev,6,2,(null),(null),5
primes2h,6,(null),1,2,4
qgroulard,6,1,1,3,2
u0f,6,(null),1,3,3
Quan-nhm,6,(null),(null),(null),6
copilot-pull-request-reviewer[bot],6,(null),(null),(null),6
marielejeune,6,1,2,1,2
ppyczko,6,(null),(null),(null),6
grojof,5,4,(null),11,(null)
ZubikIT,5,8,(null),5,(null)
damdam-s,5,6,(null),4,1
francesco-ooops,5,(null),(null),11,2
ecino,5,(null),(null),8,2
glitchov,5,4,(null),1,2
Vicent-S73,5,5,2,1,(null)
tarteo,5,2,(null),5,1
Abranes,5,1,(null),(null),4
KristianSolkaer,5,1,1,4,1
ROBBYHOOD9,5,2,(null),2,2
bouktaibMohssin,5,(null),(null),4,3
matiasperalta1,5,2,1,2,1
moval-agroingenieria,5,1,1,2,2
MarcoCalcagni,5,1,(null),(null),4
desdelinux,5,(null),(null),3,3
KDRdev,5,(null),(null),(null),5
atgalvez08,5,(null),2,(null),3
huan-tq,5,(null),(null),(null),5
jcoux,5,1,1,1,2
IJOL,4,6,(null),3,(null)
NICO-SOLUTIONS,4,4,(null),5,(null)
Ghostdev9410,4,3,(null),5,(null)
samirGuesmi,4,2,(null),4,1
wouitmil,4,1,(null),(null),3
ByteMeAsap,4,2,2,1,(null)
MarinaAForgeFlow,4,2,(null),4,1
aritzolea,4,2,1,3,(null)
jans23,4,1,1,4,(null)
mariancuadranetkia,4,(null),(null),6,2
Kimkhoi3010,4,1,1,1,1
baguenth,4,2,1,3,(null)
deeniiz,4,3,1,3,(null)
hieulucky111,4,5,1,(null),1
hitrosol,4,4,(null),3,(null)
matteonext,4,2,(null),1,2
mof-landoo,4,1,1,5,(null)
baptiste-n42,4,1,1,3,(null)
em230418,4,(null),(null),4,2
mav-adhoc,4,1,1,3,(null)
pablo-cort-s73,4,(null),(null),4,2
renatonlima,4,1,(null),1,2
tendil,4,2,3,(null),(null)
ArnauCForgeFlow,4,1,1,3,(null)
ChristophAbenthungCibex,4,(null),(null),2,3
DenerWilliam,4,1,1,2,1
almumu,4,(null),(null),2,3
anajuaristi,4,(null),(null),3,2
arielbarreiros96,4,(null),(null),3,2
cyrilfassiau,4,3,1,1,(null)
ddejong-therp,4,(null),(null),3,2
ellbristow,4,2,(null),2,1
miguel-S73,4,2,(null),(null),3
mymage,4,(null),1,2,2
polqubiq,4,1,1,3,(null)
twalter-c2c,4,1,(null),2,2
Jan-Onestein,4,(null),(null),1,3
LuisAlejandroS,4,(null),(null),1,3
MohamedOsman7,4,(null),(null),(null),4
P-H-Phuc,4,1,(null),1,2
RyanTranAVB,4,(null),(null),1,3
TheerayutEncoder,4,1,(null),1,2
fapruzzese-rapsodoo,4,(null),(null),1,3
isturiz,4,1,1,1,1
julienCozo,4,1,(null),(null),3
luisg123v,4,(null),(null),1,3
nihelgabsi-acsone,4,1,(null),(null),3
sergioM-S73,4,1,1,(null),2
arch-fan,3,(null),(null),9,(null)
joergsteffens,3,1,(null),5,(null)
len-foss,3,1,1,2,(null)
vasanthr-cp,3,4,(null),2,(null)
alan196,3,3,(null),1,(null)
jdidderen,3,(null),1,2,1
juancarlosonate-tecnativa,3,2,(null),3,(null)
therbin200,3,4,1,(null),(null)
weinni2000,3,(null),(null),4,1
Camille0907,3,3,(null),2,(null)
Flavia0320,3,2,1,1,(null)
NachoAlesLopez,3,4,(null),(null),1
alvaroGC-S73,3,1,(null),3,(null)
enriquemartin,3,3,1,(null),(null)
fredericgrall,3,3,(null),(null),1
ozono,3,1,1,2,(null)
Alexgars73,3,2,(null),(null),2
ArantxaSudon,3,(null),(null),3,1
JochenDeBie,3,3,(null),1,(null)
SuShanVoong,3,2,(null),2,(null)
ThiagoMForgeFlow,3,2,1,1,(null)
chrisandrewmann,3,(null),(null),2,2
dtec-landoo,3,1,(null),3,(null)
ebauza,3,1,(null),3,(null)
hhgabelgaard,3,1,(null),3,(null)
luciaavanzosc,3,2,2,(null),(null)
njeudy,3,(null),(null),3,1
quoc-pn,3,(null),(null),2,2
rven,3,(null),1,2,1
ryanc-me,3,(null),1,3,(null)
siyabongasilindokuhle22-ux,3,1,(null),(null),2
FernandoRomera,3,1,2,(null),(null)
FranzPoize,3,(null),(null),1,2
Gelojr,3,(null),(null),(null),3
JorgeQuinteros,3,1,1,1,(null)
LixFerox,3,1,1,1,(null)
OpenCode,3,(null),(null),1,2
PaulaMForgeFlow,3,1,1,(null),1
RabbitJon-S73,3,(null),(null),(null),3
TennyMkt,3,1,(null),1,1
alvaro-gmz,3,(null),(null),1,2
anusriNPS,3,(null),2,1,(null)
are-agilebg,3,1,1,(null),1
celm1990,3,1,(null),(null),2
dc-oerp,3,(null),1,1,1
emtz10,3,1,1,(null),1
gfcapalbo,3,1,(null),(null),2
guillermo2005200,3,1,1,(null),1
matthieusaison,3,1,(null),(null),2
mpascuall,3,1,(null),(null),2
nilshamerlinck,3,1,1,1,(null)
nurinayati,3,(null),(null),1,2
polchampion,3,(null),(null),1,2
thomashaunschmid86,3,(null),(null),(null),3
IsabelAForgeFlow,2,6,(null),(null),(null)
desagia,2,4,(null),(null),(null)
mileo,2,2,(null),1,(null)
aneavanzosc,2,2,(null),1,(null)
enigmista91,2,2,(null),1,(null)
much-filipe-colaco,2,(null),(null),5,(null)
GuillermoNforgeflow,2,4,(null),(null),(null)
cosmii02,2,1,(null),2,(null)
fd-oerp,2,(null),(null),2,1
hoangtrann,2,(null),(null),(null),2
lmarion-source,2,2,1,(null),(null)
rpsjr,2,4,(null),(null),(null)
Alexis-SDK,2,(null),(null),2,1
AquaMCU,2,(null),(null),3,(null)
Kev-Roche,2,1,(null),(null),1
RLeeOSI,2,(null),1,1,(null)
acysos,2,(null),(null),2,1
aisopuro,2,2,(null),1,(null)
alfredoavanzosc,2,1,(null),1,(null)
andres-pcg,2,(null),(null),3,(null)
brian10048,2,(null),(null),3,(null)
chaule97,2,1,(null),2,(null)
chmuche,2,1,(null),1,(null)
emadshaaban92,2,(null),1,(null),1
ferdymercury,2,(null),(null),2,1
jasalt,2,(null),(null),3,(null)
javiermatos,2,1,(null),1,(null)
manyanic,2,(null),(null),2,1
percevaq,2,(null),(null),3,(null)
psugne,2,(null),(null),3,(null)
