User,CI,CPRs,MPRs,Cts,Reviews
ferran-S73,22,1,1,2,19
dannyadair,22,1,(null),3,19
ThiagoMForgeFlow,21,5,7,5,10
mathben,21,12,4,18,9
henrybackman,21,3,(null),1,18
Camille0907,21,6,7,4,10
yweng8111,19,5,4,4,11
tarteo,19,7,2,22,10
tafaRU,19,4,(null),38,11
Kev-Roche,19,7,1,1,14
jguenat,19,8,5,17,7
giarve,19,5,4,8,10
florentx,19,6,6,1,10
weinni2000,18,3,1,15,11
SanamiK,18,4,1,10,12
len-foss,18,4,3,13,9
gregory-rutecki,18,12,(null),18,10
gfcapalbo,18,4,2,3,12
RabbitJon-S73,17,2,(null),4,14
mileo,17,22,1,5,9
MarinaAForgeFlow,17,9,1,10,10
jelenapoblet,17,(null),(null),33,11
gbrito,17,(null),(null),(null),17
ddejong-therp,17,4,(null),7,12
chaule97,17,8,8,15,2
Alexgars73,17,8,7,11,4
Aldeigja,17,1,(null),4,14
shirashi3771,16,2,2,5,10
sabrinaRMartin,16,3,10,3,3
ROBBYHOOD9,16,6,2,3,10
IriaAlonso,16,7,2,5,9
em230418,16,(null),(null),8,13
DorianMAG,16,4,1,3,11
diggy128,16,5,2,11,8
cparadis-impressfoods,16,14,2,4,8
aritzolea,16,9,5,11,5
tobiaszehntner,15,10,5,10,4
ppyczko,15,1,(null),2,13
lorenzomorandini,15,(null),(null),14,11
lbarry-apsl,15,5,4,13,5
FrancoMaxime,15,2,1,2,11
ecino,15,3,5,18,4
atgalvez08,15,10,5,4,5
adrip-s73,15,5,6,3,5
AdrianaSaiz,15,3,(null),3,12
u0f,14,3,6,9,3
thienvh332,14,11,7,7,1
sergioM-S73,14,5,4,4,6
sergiobstoj,14,6,2,3,8
rjaraspearhead,14,3,1,3,10
pniederlag,14,2,1,11,8
luisg123v,14,(null),(null),10,11
ljmnoonan,14,2,2,14,7
kobros-tech,14,11,(null),56,3
jans23,14,9,2,16,5
ArnauCForgeFlow,14,9,4,17,3
twalter-c2c,13,1,(null),2,11
rolandojduartem,13,1,1,12,8
qgroulard,13,7,3,10,4
mourad-ehm,13,(null),1,3,10
Mohajiro,13,11,6,1,3
max3903,13,4,(null),13,7
Honeyxilia,13,8,6,10,1
blackne0n,13,1,(null),9,9
ArantxaSudon,13,(null),(null),5,11
acsonefho,13,2,(null),(null),12
Abranes,13,2,1,2,9
zamberjo,12,3,2,7,6
PieterPaulussen,12,4,(null),3,8
Pani-k-folk,12,6,3,(null),7
miquelalzanillas,12,4,2,15,4
maisim,12,(null),1,8,8
KDRdev,12,3,(null),1,9
hoattk-komit,12,13,2,5,4
hoangtrann,12,(null),1,2,10
fsmw,12,21,1,18,2
desdelinux,12,1,(null),4,9
david-s73,12,2,3,5,5
celm1990,12,2,1,6,7
ypapouin,11,5,1,14,4
vincent-hatakeyama,11,7,1,4,5
renatonlima,11,6,4,1,4
quoc-pn,11,6,1,7,5
Quan-nhm,11,(null),(null),1,10
jaenbox,11,3,2,1,6
Hugo-Trentesaux,11,3,(null),3,8
deeniiz,11,15,3,15,(null)
cubells,11,4,2,6,5
CILC98,11,4,1,11,5
brian10048,11,(null),1,23,5
bartacruz,11,9,5,12,(null)
antoniodavid,11,1,2,(null),8
tishmen,10,1,6,8,(null)
SuShanVoong,10,3,1,4,5
RyanTranAVB,10,(null),1,4,7
oihane,10,2,2,2,5
mmircoli-nexapp,10,3,(null),31,3
miguel-S73,10,3,1,(null),7
javierizaca,10,(null),(null),1,9
fkantelberg,10,1,2,5,5
dnplkndll,10,21,1,8,2
carlossainznetkia,10,(null),3,1,6
alvaro-gmz,10,4,1,3,5
abhinavvaidya-tsd,10,(null),(null),1,9
solomonprabu,9,3,(null),13,4
sersanchus,9,1,(null),1,7
samirGuesmi,9,3,(null),5,5
PaoloYam,9,1,(null),1,7
MaxyMoos,9,5,4,5,1
matteonext,9,3,3,4,2
MarcoCalcagni,9,1,(null),6,6
luciaavanzosc,9,7,5,1,(null)
loida-vm,9,(null),(null),1,8
ivilata,9,7,3,11,(null)
isturiz,9,3,2,15,1
isaako34,9,4,3,1,3
glitchov,9,6,2,3,3
fcvalgar,9,(null),(null),(null),9
enriquemartin,9,4,2,2,4
ellbristow,9,8,1,5,3
DenerWilliam,9,4,1,4,4
baguenth,9,3,2,10,2
arielbarreiros96,9,1,(null),4,6
TheerayutEncoder,8,1,1,7,3
parvezqureshi,8,(null),6,4,(null)
P4R,8,3,2,4,2
P-H-Phuc,8,8,2,2,2
mdurepos,8,3,(null),6,4
mathiasfrancke,8,3,(null),1,5
lmarion-source,8,4,1,(null),5
Kimkhoi3010,8,6,3,2,1
jcoux,8,1,3,3,2
ikus060,8,1,(null),11,4
hitrosol,8,9,2,10,(null)
dtec-landoo,8,3,3,9,(null)
ChristophAbenthungCibex,8,1,1,3,4
astirpe,8,9,3,4,(null)
anthonissen-a,8,6,1,6,2
AnmollGarg,8,3,2,19,(null)
Yusuke1998,7,8,1,11,(null)
Tatider,7,(null),3,6,2
Segui-S73,7,(null),(null),(null),7
pcastelovigo,7,1,2,16,(null)
PaulGoubert,7,(null),(null),1,6
OSevangelist,7,1,(null),19,2
njeudy,7,1,(null),5,4
nimarosa,7,(null),(null),6,5
nicolascol,7,(null),(null),6,5
mav-adhoc,7,4,1,5,2
MarwanBHL,7,3,1,(null),4
marcelofrare,7,1,1,1,4
madmooose,7,1,1,(null),5
LuisAlejandroS,7,(null),(null),4,5
kopeyev,7,2,1,(null),5
JulienMartinez,7,2,(null),2,4
ioans73,7,(null),(null),(null),7
