User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,328,2,4,315,305
BhaveshHeliconia,228,73,25,72,186
ivantodorovich,136,7,11,53,115
yankinmax,89,32,16,71,59
rvalyi,88,22,18,86,56
victoralmau,84,42,28,34,44
CristianoMafraJunior,84,18,24,21,51
jbaudoux,82,11,13,42,59
WesleyOliveira98,81,8,7,6,69
AungKoKoLin1997,75,16,18,20,49
luisDIXMIT,73,11,11,26,54
etobella,71,10,10,45,51
CarlosRoca13,69,17,19,23,41
rousseldenis,68,10,5,59,52
CRogos,63,27,13,37,39
AaronHForgeFlow,63,7,4,35,50
yostashiro,57,1,(null),20,52
simahawk,55,2,4,53,42
legalsylvain,54,5,5,41,40
hbrunn,50,9,17,26,25
MiquelRForgeFlow,50,8,8,16,35
Andrii9090-tecnativa,49,32,17,17,22
lmignon,49,11,9,31,31
StefanRijnhart,48,8,9,22,31
divad1196,47,8,3,16,37
carlos-lopez-tecnativa,47,12,9,10,31
NL66278,46,8,1,54,35
vvrossem,46,6,5,5,36
sergiocorato,43,4,4,29,32
chienandalu,42,7,4,16,31
cgarcia-solvos,40,7,4,17,29
christian-ramos-tecnativa,40,7,9,12,25
EmilioPascual,39,18,13,15,18
grindtildeath,39,5,2,5,33
LoisRForgeFlow,37,13,11,21,18
sbidoul,35,13,11,38,14
smorita7749,35,10,5,5,25
primes2h,34,2,2,20,26
florian-dacosta,33,10,5,13,21
rrebollo,33,5,5,12,22
Ricardoalso,33,7,6,6,22
dreispt,32,17,9,25,14
mt-software-de,32,4,2,13,24
flotho,31,1,1,31,23
SirPyTech,31,13,10,20,13
sergio-teruel,31,10,5,8,20
marcelsavegnago,31,(null),(null),10,28
DavidJForgeFlow,29,2,(null),11,24
Saran440,28,11,8,36,11
sebalix,28,14,10,21,10
MohamedOsman7,28,3,3,29,18
eduezerouali-tecnativa,28,11,5,12,16
mmequignon,28,2,2,9,22
alexis-via,27,10,16,23,3
hparfr,26,(null),1,9,22
antoniospneto,26,1,(null),7,22
SilvioC2C,25,1,1,1,22
metaminux,24,10,2,7,16
nicolas-delbovier-acsone,23,17,8,15,7
HekkiMelody,23,3,10,6,9
