User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,286,25,22,236,244
jbaudoux,98,26,26,59,59
CristianoMafraJunior,81,25,12,16,60
etobella,78,18,13,55,53
marcelsavegnago,77,9,5,59,61
yostashiro,77,2,2,23,69
rousseldenis,72,3,4,76,58
AungKoKoLin1997,71,20,18,51,41
victoralmau,69,30,31,16,29
rvalyi,67,19,16,78,38
hbrunn,62,11,14,28,39
AaronHForgeFlow,59,3,1,17,52
legalsylvain,57,6,12,64,35
Reyes4711-S73,56,(null),(null),22,51
EmilioPascual,55,14,13,24,33
BhaveshHeliconia,54,8,20,43,25
LoisRForgeFlow,54,5,5,37,41
yajo,49,7,3,28,38
StefanRijnhart,47,5,7,28,32
thomaspaulb,46,9,4,74,30
carlos-lopez-tecnativa,46,10,7,13,32
MiquelRForgeFlow,45,13,11,25,25
Andrii9090,44,14,10,16,26
alexis-via,42,28,22,44,8
rrebollo,41,6,6,39,26
ivantodorovich,40,10,5,7,29
sbidoul,39,10,8,57,20
Shide,39,13,3,19,28
christian-ramos-tecnativa,37,10,9,18,21
WesleyOliveira98,37,7,4,(null),30
NL66278,35,6,4,28,23
chienandalu,33,6,3,1,27
JasminSForgeFlow,32,25,7,6,18
moylop260,31,27,22,13,(null)
SirPyTech,31,16,16,16,7
flotho,30,1,3,18,22
leemannd,28,(null),1,57,19
CRogos,28,5,3,27,18
kanda999,28,1,1,(null),26
ivs-cetmix,27,(null),(null),59,19
lmignon,27,5,2,18,19
odooNextev,27,3,1,14,21
JordiMForgeFlow,26,3,2,14,19
sebalix,26,4,7,13,13
ValentinVinagre,25,2,2,4,20
nobuQuartile,25,2,1,3,21
edescalona,24,4,3,18,15
TDu,24,5,3,11,15
hparfr,23,1,2,17,16
florian-dacosta,23,(null),1,11,19
luisDIXMIT,23,4,1,4,18
bosd,21,9,4,29,9
acysos,21,2,(null),24,15
vvrossem,21,6,6,8,10
DarioLodeiros,20,4,6,22,7
sbejaoui,20,5,2,8,13
nicolas-delbovier-acsone,19,15,8,17,3
jappi00,19,1,1,8,14
dhongu,18,11,11,13,(null)
eduezerouali-tecnativa,18,7,6,10,6
sergiocorato,18,3,1,11,12
jesusVMayor,18,9,15,(null),(null)
Gelojr,18,(null),(null),(null),18
Saran440,17,8,2,14,8
peluko00,17,3,1,15,10
simahawk,17,1,1,15,11
bealdav,17,3,2,7,11
ntsirintanis,17,7,(null),4,12
nihelgabsi-acsone,17,4,(null),1,14
monen17,16,(null),(null),15,12
DavidJForgeFlow,16,6,8,7,3
LauraCForgeFlow,16,6,8,7,3
mariancuadranetkia,16,3,3,11,8
cristina-hidalgo-tecnativa,16,10,3,2,8
HekkiMelody,16,(null),1,9,12
bizzappdev,15,22,10,(null),(null)
dreispt,15,18,(null),8,8
AndreuOForgeFlow,15,6,3,11,6
cvinh,15,5,1,9,9
yankinmax,15,(null),2,8,10
SilvioC2C,15,6,3,3,8
sebastienbeau,15,(null),(null),8,12
jelenapoblet,14,(null),(null),27,9
mt-software-de,14,7,1,5,8
grindtildeath,14,5,4,4,6
quirino95,14,3,(null),(null),12
Vang-NguyenPhu,13,6,(null),4,9
sergio-teruel,13,4,3,4,6
sabrinaRMartin,13,3,7,3,3
Camille0907,13,3,1,2,9
copilot-pull-request-reviewer[bot],13,(null),(null),(null),13
adasatorres,12,5,4,1,5
Borruso,12,3,4,9,3
arnaudlayec,12,5,2,2,6
paradoxxxzero,12,7,4,3,4
weinni2000,12,2,(null),7,8
Tisho99,12,3,3,5,5
gurneyalex,12,(null),(null),5,10
kaynnan,12,1,1,1,9
Anxo82,11,6,3,12,2
RicardCForgeFlow,11,6,4,9,2
TheMule71,11,3,2,12,4
NICO-SOLUTIONS,11,5,1,8,5
andreampiovesana,11,(null),(null),9,8
arantxa-s73,11,6,3,2,4
ljmnoonan,11,1,(null),7,7
petrus-v,11,1,(null),3,8
david-s73,11,2,2,5,5
Mohajiro,11,4,5,1,3
MaurizioPellegrinet,11,(null),(null),2,10
guewen,11,(null),(null),2,10
huan-tq,11,(null),(null),(null),11
francesco-ooops,10,(null),(null),18,6
rafaelbn,10,(null),(null),12,7
CarlosRoca13,10,6,4,2,2
HviorForgeFlow,10,(null),(null),6,8
jans23,10,2,1,6,5
quentinDupont,10,2,5,5,1
AEstLo,10,1,(null),5,7
huguesdk,10,3,3,3,4
HaraldPanten,10,(null),(null),4,8
gfcapalbo,10,3,(null),1,7
pilarvargas-tecnativa,10,4,2,1,5
rolandojduartem,10,(null),(null),4,8
antoniodavid,10,(null),2,(null),8
hieulucky111,10,(null),(null),2,9
sbiosca-s73,10,2,1,1,7
mmequignon,10,1,2,1,6
miquelalzanillas,9,1,1,9,4
JoanSForgeFlow,9,2,(null),3,6
fkantelberg,9,1,1,5,5
imlopes,9,4,2,2,4
stferraro,9,3,(null),1,6
tendil,9,4,3,(null),4
antoniospneto,9,(null),(null),2,8
hoangtrann,9,(null),1,2,7
pablo-cort-s73,9,3,(null),1,6
cyrilmanuel,9,(null),1,1,7
ferran-S73,9,(null),(null),(null),9
eLBati,8,3,(null),7,4
tishmen,8,1,4,8,(null)
dalonsod,8,3,3,5,1
micheledic,8,(null),1,8,4
StephaneMangin,8,2,(null),4,5
eugenios73,8,6,1,1,4
mileo,8,3,(null),2,5
hildickethan,8,(null),(null),4,6
anusriNPS,8,3,4,1,1
javierizaca,8,(null),(null),1,7
atgalvez08,7,7,2,3,1
Vicent-S73,7,7,2,5,(null)
feketemihai,7,4,2,8,(null)
ypapouin,7,5,1,6,1
GuillemCForgeFlow,7,1,1,7,2
MarinaAForgeFlow,7,4,(null),2,4
Ricardoalso,7,2,1,2,3
u0f,7,3,3,5,(null)
RyanTranAVB,7,(null),1,3,4
len-foss,7,2,1,2,3
mihien,7,2,1,3,3
VBNext,7,(null),(null),2,6
Kev-Roche,7,(null),(null),(null),7
ArnauCForgeFlow,6,6,1,8,(null)
remi-filament,6,(null),1,9,2
MaxyMoos,6,3,2,3,1
bguillot,6,(null),(null),7,3
DenerWilliam,6,3,(null),2,3
chaule97,6,4,2,1,1
cuongnmtm,6,2,1,4,2
renatonlima,6,3,3,(null),1
santostelmo,6,(null),(null),5,4
KKamaa,6,2,1,(null),4
Kiplangatdan,6,(null),(null),(null),6
mbaena,6,2,1,3,2
Hugo-Trentesaux,6,1,(null),1,4
Jaimermaccione,6,(null),(null),2,5
aritzolea,6,1,1,2,3
oihane,6,(null),1,2,4
RabbitJon-S73,6,(null),(null),(null),6
abhinavvaidya-tsd,6,(null),(null),1,5
amh-mw,6,(null),1,1,4
carlosdauden,6,(null),(null),1,5
